stop_id,stop_name,stop_lat,stop_lon
1,Airoli,19.158546,72.99926
2,Ambernath,19.210184,73.184349
3,Ambivili,19.267761,73.171738
4,Andheri,19.117029,72.846565
5,Asangaon,19.439562,73.307991
6,Atgaon,19.503895,73.327904
7,Badlapur,19.166655,73.23941
8,Bandra,19.054817,72.840599
9,Belapur CBD,19.018751,73.038651
10,Bhandup,19.142776,72.938148
11,Bhayander,19.309504,72.852806
12,Bhivpuri Road,18.970016,73.331467
13,Bhiwandi,19.268694,73.045692
14,Boisar,19.79812,72.761482
15,Borivili,19.229109,72.856865
16,Byculla,18.976549,72.832703
17,Charni Road,18.951529,72.818604
18,Chembur,19.062565,72.901237
19,Chinchpokhli,18.986938,72.832878
20,Chunabhatti,19.051632,72.868965
21,Churchgate,18.934786,72.827232
22,Cotton Green,18.986534,72.843346
23,Currey Road,18.993999,72.833008
24,Dadar Central,19.017656,72.843216
25,Dadar Western,19.019402,72.843178
26,Dahanu Road,19.991659,72.743484
27,Dahisar,19.249935,72.859398
28,Diva,19.189272,73.042519
29,Dockyard Road,18.966364,72.844208
30,Dolavli,18.834248,73.320007
31,Dombivili,19.21833,73.086845
32,Elphinstone,19.007391,72.835838
33,Ghansoli,19.116016,73.007072
34,Ghatkopar,19.085724,72.908234
35,Goregaon,19.164829,72.849525
36,Govandi,19.055059,72.915466
37,Grant Road,18.963604,72.816139
38,Guru Teg Bahadur Nagar,19.037779,72.86412
39,Jogeshwari,19.136492,72.848839
40,Jugnendra,19.360224,72.872482
41,Jui Nagar,19.055668,73.018013
42,Kalva,19.195351,72.9963
43,Kalyan,19.23543,73.129936
44,Kaman,19.336697,72.918404
45,Kandivali,19.204836,72.852104
46,Kanjur Marg,19.128262,72.928017
47,Karjat,18.909534,73.320564
48,Kasara,19.647842,73.47261
49,Kelavali,18.845619,73.31868
50,Kelva Road,19.624884,72.790947
51,Khadavli,19.356861,73.218903
52,Khandeshwar,19.007351,73.095215
53,Khar Road,19.069824,72.840172
54,Kharbao,19.298264,72.983727
55,Khardi,19.58017,73.39399
56,Kharghar,19.025892,73.059128
57,Khopoli,18.78952,73.344894
58,King's Circle,19.032181,72.857162
59,Koparkhairane,19.103121,73.01136
60,Kurla,19.065241,72.87944
61,Lower Kopar,19.21067,73.076889
62,Lower Parel,18.995298,72.829956
63,Lowjee,18.808615,73.335411
64,Mahalaxmi,18.982313,72.824036
65,Mahim Junction,19.040619,72.846909
66,Malad,19.186718,72.848839
67,Mankhurd,19.047838,72.930977
68,Mansarovar,19.016397,73.080582
69,Marine Lines,18.945704,72.823776
70,Masjid Bunder,18.951916,72.838242
71,Matunga,19.027433,72.850082
72,Matunga Road,19.028366,72.846741
73,Mira Road,19.279631,72.856071
74,Mulund,19.17168,72.956261
75,Mumbai Central,18.970949,72.818802
76,Mumbai CST,18.94404,72.836098
77,Mumbra,19.190651,73.022987
78,Nahur,19.154573,72.946259
79,Nala Sopara,19.417469,72.81897
80,Nalgaon,19.351254,72.846268
81,Neral,19.026947,73.318115
82,Nerul,19.033358,73.018013
83,Palasdari,18.884239,73.320824
84,Palghar,19.69788,72.772224
85,Panvel Junction,18.990511,73.121307
86,Parel,19.009134,72.837555
87,Rabale,19.136938,73.002647
88,Reay Road,18.97724,72.844292
89,Sandhurst Road,18.961372,72.839958
90,Sanpada,19.066093,73.0093
91,Santacruz,19.083006,72.841759
92,Saphala,19.576855,72.821846
93,Seawoods Darave,19.021835,73.018913
94,Sewri,18.998627,72.854378
95,Shahad,19.244345,73.158348
96,Shelu,19.063375,73.317688
97,Sion,19.047516,72.863945
98,Thakurli,19.225826,73.097923
99,Thane,19.185989,72.975571
100,Tilak Nagar,19.066418,72.889778
101,Titwala,19.296846,73.203232
102,Turbhe,19.076233,73.017838
103,Ulhasnagar,19.218046,73.163109
104,Umbermali,19.628279,73.422829
105,Umroli,19.754728,72.760475
106,Vaitarna,19.518133,72.85051
107,Vangani,19.09428,73.300652
108,Vangaon,19.883619,72.763184
109,Vasai Road,19.382833,72.832169
110,Vashi Junction,19.063253,72.998611
111,Vasind,19.406576,73.267563
112,Vidyavihar,19.079477,72.897461
113,Vikhroli,19.111799,72.928276
114,Ville Parle,19.099634,72.843903
115,Virar,19.455151,72.812103
116,Vithalwadi,19.228176,73.1492
117,Wadala Road,19.016439,72.859222
