"Rtalias"	"``"	"From"	"F_F"	"F_L"	"To"	"T_F"	"T_L"	"AM"	"NOON"	"PM"	"Schedule"	"Primary"			
"0510"	51	"Colaba Depot"	5.15	22.40	"Santacruz Depot"	4.10	20.50	27	30	34	"Mon-Sat"	2			
"0510"	51	"Colaba Depot"	5.15	22.45	"Santacruz Depot"	4.10	20.45	29	28	32	"Sun-Hol"	4			
"0520"	52	"Shravan Yeshwante Chowk"	6.30	22.30	"Dharavi Depot"	5.55	21.35	16	17	20	"Mon-Fri"	2			
"0520"	52	"Shravan Yeshwante Chowk"	6.30	22.25	"Dharavi Depot"	5.55	21.30	19	18	17	"Saturday"	3			
"0520"	52	"Shravan Yeshwante Chowk"	6.35	22.15	"Dharavi Depot"	6.00	21.25	21	30	24	"Sun-Hol"	4			
"0530"	53	"Worli Depot"	5.30	21.30	"Lokmanya Tilak Terminus"	6.15	22.30	18	20	20	"Mon-Fri"	2			
"0530"	53	"Worli Depot"	5.30	21.30	"Lokmanya Tilak Terminus"	6.15	22.30	18	20	20	"Saturday"	3			
"0530"	53	"Worli Depot"	5.30	21.30	"Lokmanya Tilak Terminus"	6.15	22.25	17	23	20	"Sun-Hol"	4			
"0541"	"54Ltd"	"Santacruz Depot"	6.05	22.40	"Colaba Bus Station"	7.15	22.52	20	29	25	"Mon-Sat"	2			
"0541"	"54Ltd"	"Santacruz Depot"	6.05	22.35	"Colaba Bus Station"	7.20	22.57	21	26	25	"Holiday"	4			
"0541"	"54Ltd"	"Santacruz Depot"	6.05	22.40	"Colaba Bus Station"	7.20	23.00	21	26	23	"Sunday"	4			
"0554"	"55R"	"Worli Depot"	6.10	21.20	"Shravan Yeshwante Chowk"	6.35	21.50	31	31	31	"Mon-Sat"	2			
"0554"	"55R"	"Worli Depot"	6.10	21.05	"Shravan Yeshwante Chowk"	6.25	21.35	18	23	18	"Holiday"	4			
"0560"	56	"Worli Village"	6.15	22.50	"Yari Road/Vesave Bus Stn."	5.15	21.10	22	25	23	"Mon-Sat"	2			
"0560"	56	"Worli Village"	6.25	22.40	"Yari Road/Vesave Bus Stn."	5.30	21.00	24	27	28	"Sunday"	4			
"0560"	56	"Worli Village"	6.35	22.40	"Yari Road/Vesave Bus Stn."	5.30	21.00	24	27	25	"Holiday"	4			
"0570"	57	"Walkeshwar"	6.55	22.10	"P.Thakre Udyan"	6.10	21.10	8	11	12	"Mon-Fri"	2			
"0570"	57	"Walkeshwar"	6.55	22.05	"P.Thakre Udyan"	6.10	21.10	12	20	17	"Saturday"	3			
"0570"	57	"Kamala Nehru Park"	15.07	20.55	"P.Thakre Udyan"	14.09	19.50	17	19	19	"Sunday"	4			
"0570"	57	"Walkeshwar"	8.05	14.48	"P.Thakre Udyan"	7.15	13.50				"Sunday"	4			
"0570"	57	"Walkeshwar"	21.15	22.15	"P.Thakre Udyan"	20.11	21.15				"Sunday"	4			
"0570"	57	"Walkeshwar"	6.40	14.55	"P.Thakre Udyan"	6.00	13.57	21	23	26	"Holiday"	4			
"0570"	57	"Walkeshwar"	21.15	22.15	"P.Thakre Udyan"	20.12	21.15				"Holiday"	4			
"0570"	57	"Kamala Nehru Park"	15.19	20.47	"P.Thakre Udyan"	14.21	19.44				"Holiday"	4			
"0590"	59	"Veer Kotwal Udyan"	5.00	22.55	"Kurla Station(E)"	5.45	22.05	13	17	16	"Mon-Sat"	2			
"0590"	59	"Veer Kotwal Udyan"	7.38	22.20	"Kurla Station(E)"	6.55	21.30	23	18	15	"Sun-Hol"	4			
"0600"	60	"M.P.Chowk(Mazgaon)"	6.20	22.50	"Kurla Station(E)"	5.35	22.40	13	18	20	"All Days"	1			
"0610"	61	"Swami D.S.Chowk"	" "	" "	"Machchimar Nagar(Mahim)"	18.36	19.45	27	32	28	"Mon-Sat"	2			
"0610"	61	"Ballard Pier"	18.23	19.57	"Mahim Bus Station"	5.45					"Mon-Sat"	2			
"0610"	61	"Ballard Pier"	7.00	18.00	"Machchimar Nagar(Mahim)"	6.10	18.12				"Mon-Sat"	2			
"0610"	61	"Swami D.S.Chowk"	20.20	22.45	"Mahim Bus Station"	20.10	21.15				"Mon-Sat"	2			
"0610"	61	"Ballard Pier"	7.40	17.52	"Machchimar Nagar(Mahim)"	6.20	19.32	30	28	28	"Holiday"	4			
"0610"	61	"Swami D.S.Chowk"	18.21	22.25	"Mahim Bus Station"	20.01	21.00				"Holiday"	4			
"0610"	61	"Chh.Shivaji Terminus"	7.40	18.07	"Machchimar Nagar(Mahim)"	6.20	19.42	28	28	27	"Sunday"	4			
"0610"	61	"Chh.Shivaji Terminus"	18.34	22.25	"Mahim Bus Station"	20.05	21.00				"Sunday"	4			
"0620"	62	"Central Depot"	5.25	21.25	"Kurla Station(W)"	6.30	23.00	22	28	26	"All Days"	1			
"0630"	63	"J.Mehta Marg"	5.55	20.00	"Chunabhatti"	5.35	22.05	10	15	13	"Mon-Sat"	2			
"0630"	63	"Vasantrao Naik Chowk"	9.30	23.10	"Chunabhatti"	8.10	21.50				"Mon-Sat"	2			
"0630"	63	"J.Mehta Marg"	20.26	23.30	"Rani Laxmi Chowk"	5.05	5.23				"Mon-Sat"	2			
"0630"	63	"J.Mehta Marg"	6.20	20.55	"Byculla Stn.(W)"	6.00	21.40	11	20	14	"Mon-Sat"	2			
"0630"	63	"J.Mehta Marg"	6.00	23.10	"Chunabhatti"	5.35	22.05	14	17	12	"Sun-Hol"	4			
"0630"	63	"J.Mehta Marg"			"Rani Laxmi Chowk"	5.10	5.23				"Sun-Hol"	4			
"0630"	63	"J.Mehta Marg"	6.30	20.30	"Byculla Stn.(W)"	7.05	20.10	23	14	14	"Sun-Hol"	4			
"0640"	64	"Vasantrao Naik Chowk"	6.25	6.50	"Maheshwari Udyan"	5.40	6.00	21	25	24	"Mon-Fri"	2			
"0640"	64	"Babulnath"	7.10	22.20	"Masheshwari Udyan"	6.20	21.20				"Mon-Fri"	2			
"0640"	64	"Vasantrao Naik Chowk"		22.35	"Masheshwari Udyan"		21.40				"Mon-Fri"	2			
"0640"	64	"Vasantrao Naik Chowk"	6.25	22.35	"Masheshwari Udyan"	5.40	21.40	21	26	27	"Saturday"	3			
"0640"	64	"Babulnath"	7.10	22.15	"Masheshwari Udyan"	6.20	21.20				"Saturday"	3			
"0640"	64	"Vasantrao Naik Chowk"	22.35		"Masheshwari Udyan"		21.40				"Saturday"	3			
"0640"	64	"Vasantrao Naik Chowk"	" "	22.35	"Maheshwari Udyan"	" "	21.40	21	25	21	"Sun-Hol"	4			
"0640"	64	"Babulnath"	7.10	22.15	"Maheshwari Udyan"	6.20	21.15				"Sun-Hol"	4			
"0650"	65	"Tardeo Bus Station"	7.10	7.25	"Anik Depot"	6.15	6.30				"Mon-Sat"	2			
"0650"	65	"Tardeo Bus Station"	12.00	12.20	"Anik Depot"	11.00	11.20				"Mon-Sat"	2			
"0650"	65	"Tardeo Bus Station"	17.20	17.40	"Anik Depot"	16.20	16.35				"Mon-Sat"	2			
"0660"	66	"Ballard Pier"	7.40	20.10	"Rani Laxmi Chowk"	6.42	18.35	5	7	8	"Mon-Sat"	2			
"0660"	66	"Swami D.S.Chowk"	6.15	7.35	"Rani Laxmi Chowk"	5.25	6.34				"Mon-Sat"	2			
"0660"	66	"Swami D.S.Chowk"	20.10	23.25	"Rani Laxmi Chowk"	18.40	22.50				"Mon-Sat"	2			
"0660"	66	"Colaba Depot "	24.06	1.05	"Rani Laxmi Chowk"	23.00	24.10				"Mon-Sat"	2			
"0660"	66	"Chh.Shivaji Terminus"	6.20	24.10	"Rani Laxmi Chowk"	5.25	23.15	9	10	11	"Sunday"	4			
"0660"	66	"Pt. Paluskar Chowk"	9.06	21.55	"Rani Laxmi Chowk"	8.16	21.06				"Sunday"	4			
"0660"	66	"Colaba Depot "	0.25	1.00	"Rani Laxmi Chowk"	23.31	24.05				"Sunday"	4			
"0660"	66	"Swami D.S.Chowk"	6.20	0.10	"Rani Laxmi Chowk"	5.25	23.15	7	8	6	"Holiday"	4			
"0660"	66	"Colaba Depot"	0.25	1.00	"Rani Laxmi Chowk"	23.31	24.05				"Holiday"	4			
"0670"	67	"Walkeshwar"	5.40	22.25	"Antop Hill"	4.45	20.45	17	17	18	"Mon-Sat"	2			
"0670"	67	"Mumbai Central Depot"	22.25	23.10	"Antop Hill"	21.11	22.05				"Mon-Sat"	2			
"0670"	67	"Kamala Nehru Park"	8.50	21.22	"Antop Hill"	7.40	19.47	23	17	16	"Sun-Hol"	4			
"0670"	67	"Walkeshwar"	6.40	8.20	"Antop Hill"	5.45	7.15				"Sun-Hol"	4			
"0670"	67	"Walkeshwar"	21.38	22.10	"Antop Hill"	20.05	20.40				"Sun-Hol"	4			
"0670"	67	"Mumbai Central Depot"	22.05	23.10	"Antop Hill"	21.00	22.00				"Sun-Hol"	4			
"0680"	68	"Navy Nagar"	6.30	21.45	"Worli Depot "	6.05	20.15	24	24	25	"Mon-Fri"	2			
"0680"	68	"Navy Nagar"	6.30	21.45	"Worli Depot "	6.05	20.15	27	27	30	"Saturday"	3			
"0680"	68	"Navy Nagar"	6.30	21.35	"Worli Depot"	6.25	20.15	33	36	38	"Sun-Hol"	4			
"0690"	69	"Dr.S.P.Mukherji Chowk"	6.00	23.40	"P.Thakre Udyan"	5.15	23.00	8	10	10	"Mon-Fri"	2			
"0690"	69	"Dr.S.P.Mukherji Chowk"	6.00	23.40	"P.Thakre Udyan"	5.15	23.00	10	15	15	"Saturday"	3			
"0690"	69	"Dr.S.P.Mukherji Chowk"	6.35	23.40	"P.Thakre Udyan"	5.50	22.50	16	17	17	"Sunday"	4			
"0690"	69	"Dr.S.P.Mukherji Chowk"	6.00	23.40	"P.Thakre Udyan"	5.15	22.50	16	17	17	"Holiday"	4			
"0700"	70	"Colaba Depot"	7.10	22.50	"Dharavi Depot"	6.15	21.15	25	25	30	"Mon-Sat"	2			
"0700"	70	"Colaba Depot"	6.55	22.00	"Dharavi Depot"	5.55	20.35	23	30	30	"Sun-Hol"	4			
"0740"	74	"Dr.S.P.Mukherji Chowk"	7.45	20.35	"Mahim Bus Stn."	6.40	19.00	31	36	38	"Mon-Sat"	2			
"0750"	75	"Nadkarni Park"	6.50	22.50	"Tata Colony(Bandra)"	6.00	21.56	35	35	38	"Mon-Fri"	2			
"0750"	75	"Nadkarni Park"	6.50	22.45	"Tata Colony(Bandra)"	6.00	21.40	52	34	38	"Sat-Sun-Hol"	3			
"0760"	76	"Mantralaya"	8.10	21.45	"Dharavi Depot"	6.50	19.54	23	27	30	"Mon-Fri"	2			
"0760"	76	"Pt. Paluskar Chowk"	7.25		"Dharavi Depot"	6.30					"Mon-Fri"	2			
"0760"	76	"Pt. Paluskar Chowk"	21.50	22.20	"Dharavi Depot"	20.25	21.00				"Mon-Fri"	2			
"0760"	76	"Mantralaya"	8.10	21.40	"Dharavi Depot"	6.50	19.48	35	35	30	"Saturday"	3			
"0760"	76	"Pt. Paluskar Chowk"	7.25		"Dharavi Depot"	6.30					"Saturday"	3			
"0760"	76	"Pt. Paluskar Chowk"	21.45	22.15	"Dharavi Depot"	20.19	20.55				"Saturday"	3			
"0760"	76	"Pt. Paluskar Chowk"	8.05	21.55	"Dharavi Depot"	7.00	20.35	24	27	25	"Sunday"	4			
"0770"	77	"P.Thakre Udyan"	7.00	20.40	"J.Mehta Marg"	7.50	21.45	21	25	23	"Mon-Sat"	2			
"0770"	77	"P.Thakre Udyan"	7.00	20.40	"J.Mehta Marg"	7.50	21.45	32	32	27	"Sun-Hol"	4			
"0790"	79	"Mahim Bus Stn."	6.50	23.05	"P.Thakre Nagar Bus Station."	5.35	21.30	12	17	14	"Mon-Sat"	2			
"0790"	79	"Santacruz Depot"	6.00		"P.Thakre Nagar Bus Station"	5.05					"Mon-Sat"	2			
"0790"	79	"Santacruz Depot"	13.19	16.41	"P.Thakre Nagar Bus Station"	11.34	14.56				"Mon-Sat"	2			
"0790"	79	"Mahim Bus Stn."	6.45	23.05	"P.Thakre Nagar Bus Station."	5.30	21.35	19	16	17	"Sun-Hol"	4			
"0790"	79	"Santacruz Depot"	6.10		"P.Thakre Nagar Bus Station"	5.15					"Sun-Hol"	4			
"0801"	"80Ltd"	"Babulnath"	7.50	20.45	"J.V.PD.Bus Stn."	6.25	19.50	25	25	26	"Mon-Sat"	2			
"0801"	"80Ltd"	"Babulnath"	7.50	21.35	"J.V.PD.Bus Stn."	6.40	20.05	24	26	26	"Sun-Hol"	4			
"0801"	"80Ltd"	"Kamala Nehru Park"	15.18	19.39	"J.V.PD.Bus Stn."	13.48	17.54				"Sun-Hol"	4			
"0811"	"81Ltd"	"Mantralaya"	8.45	11.40	"Shastri Nagar"	7.10	9.55	25	26	27	"Mon-Sat"	2			
"0811"	"81Ltd"	"Mantralaya"	16.06	18.18	"Shastri Nagar"	14.16	16.28				"Mon-Sat"	2			
"0811"	"81Ltd"	"Chh.Shivaji Terminus"	12.10	15.35	"Shastri Nagar"	10.30	13.50				"Mon-Sat"	2			
"0811"	"81Ltd"	"Chh.Shivaji Terminus"	18.44	21.35	"Shastri Nagar"	16.54	20.00				"Mon-Sat"	2			
"0811"	"81Ltd"	"Chh.Shivaji Terminus"	8.45	21.35	"Santacruz Depot"	7.10	20.00	38	40	38	"Sun-Hol"	4			
"0820"	82	"Mantralaya"	8.35	21.20	"Worli Depot"	7.45	20.10	17	23	20	"Mon-Fri"	2			
"0820"	82	"Pt. Paluskar Chowk"	6.55	8.15	"Worli Depot"	6.27	7.30				"Mon-Fri"	2			
"0820"	82	"Mantralaya"	8.35	21.15	"Worli Depot"	7.45	20.05	19	23	23	"Saturday"	3			
"0820"	82	"Pt. Paluskar Chowk"	6.55	8.15	"Worli Depot"	6.27	7.30				"Saturday"	3			
"0820"	82	"Mantralaya"	7.45	21.10	"Worli Depot"	7.00	20.15	45	35	29	"Sunday"	4			
"0820"	82	"Mantralaya"	8.58	19.00	"Worli Depot"	8.05	18.00	21	26	19	"Holiday"	4			
"0820"	82	"Pt. Paluskar Chowk"	7.58	8.26	"Worli Depot"	7.15	7.40				"Holiday"	4			
"0820"	82	"Pt. Paluskar Chowk"	19.15	21.05	"Worli Depot"	18.19	20.20				"Holiday"	4			
"0830"	83	"Colaba Bus Station"	6.50	21.40	"Santacruz Depot"	5.45	19.30	13	17	16	"Mon-Fri"	2			
"0830"	83	"Dr.S.P.Mukherji Chowk"	6.35		"Santacruz Depot"	5.30	" "				"Mon-Fri"	2			
"0830"	83	"Pt. Paluskar Chowk"	21.10	23.35	"Santacruz Depot"	19.45	22.30				"Mon-Fri"	2			
"0830"	83	"Santacruz Depot"	5.45	19.30	"Colaba Bus Station"	6.50	21.40	13	17	18	"Saturday"	3			
"0830"	83	"Santacruz Depot"	5.30		"Dr.S.P.M.Chk."	6.35					"Saturday"	3			
"0830"	83	"Santacruz Depot"	19.45	22.30	"Pt.Paluskar Chowk"	21.10	23.35				"Saturday"	3			
"0830"	83	"Colaba Bus Station"	6.55	21.15	"Santacruz Depot"	5.50	19.35	18	24	20	"Sun-Hol"	4			
"0830"	83	"Pt. Paluskar Chowk"	21.10	23.25	"Santacruz Depot"	19.55	22.30				"Sun-Hol"	4			
"0841"	"84Ltd"	"Pt. Paluskar Chowk"	8.00	17.36	"Andheri Station(W)"	6.55	19.20	16	19	20	"Mon-Sat"	2			
"0841"	"84Ltd"	"Pt. Paluskar Chowk"	17.56	21.00	"Oshiwara Depot"						"Mon-Sat"	2			
"0841"	"84Ltd"	"Pt. Paluskar Chowk"	8.35	20.45	"Oshiwara Depot"	7.00	19.00	20	20	19	"Sunday"	4			
"0841"	"84Ltd"	"Pt. Paluskar Chowk"	8.15	20.45	"Oshiwara Depot"	6.40	19.00	16	16	17	"Holiday"	4			
"0850"	85	"Hutatma Chowk"	7.10	8.40	"Kurla Station(E)"	6.00	7.15	17	25	18	"Mon-Sat"	2			
"0850"	85	"World Trade Centre"	9.00	10.40	"Kurla Station(E)"	7.35	8.55				"Mon-Sat"	2			
"0850"	85	"Hutatma Chowk"	11.07	22.05	"Kurla Station(E)"	9.22	20.35				"Mon-Sat"	2			
"0850"	85	"World Trade Centre"	10.05	10.55	"Chunabhatti"	8.30	9.20	40			"Mon-Sat"	2			
"0850"	85	"Hutatma Chowk"	" "		"Chunabhatti"	11.40	12.35				"Mon-Sat"	2			
"0850"	85	"Hutatma Chowk"	7.05	22.05	"Kurla Stn(E)"	6.00	20.35	24	25	18	"Sunday"	4			
"0850"	85	"Hutatma Chowk"	9.15	11.45	"Chunabhatti"	8.00	13.00				"Sunday"	4			
"0850"	85	"Hutatma Chowk"	7.05	22.00	"Kurla Station(E)"	6.00	20.30	18	16	16	"Holiday"	4			
"0850"	85	"Hutatma Chowk"	9.15	11.42	"Chunabhatti"	8.00	13.00	40			"Holiday"	4			
"0860"	86	"Backbay Depot"	6.00	10.15	"Bandra Bus Station"	6.00	10.17	25	25	25	"Mon-Sat"	2			
"0860"	86	"Backbay Depot"	16.05	20.20	"Bandra Bus Station"	14.10	21.05	21	23	23	"Mon-Sat"	2			
"0860"	86	"Backbay Depot"	20.40	22.45	"Mahim Bus Station"	5.25	6.40				"Mon-Sat"	2			
"0860"	86	"Dr.S.P.Mukherji Chowk"	12.25	15.49	"Bandra Bus Station"	10.40	14.05	21	23	23	"Mon-Sat"	2			
"0860"	86	"Backbay Depot"	6.35	20.05	"Bandra Bus Station"	6.35	19.50	23	25	25	"Sunday"	4			
"0860"	86	"Backbay Depot"			"Mahim Bus Station"	5.35	6.18				"Sunday"	4			
"0860"	86	"Backbay Depot"	6.35	20.05	"Bandra Bus Station"	6.00	19.45	25	25	21	"Holiday"	4			
"0860"	86	"Backbay Depot"	20.27	21.35	"Mahim Bus Station"	5.45	6.40				"Holiday"	4			
"0871"	"87Ltd"	"Mantralaya"	9.00	10.50	"Bandra Colony Bus Stn"	7.40	9.20	15	" "	30	"Mon-Fri"	2			
"0871"	"87Ltd"	"Mantralaya"	17.25	19.05	"Bandra Colony Bus Stn"	15.40	17.23				"Mon-Fri"	2			
"0871"	"87Ltd"	"Vasantrao Naik Chowk"	7.40	8.17	"Bandra Colony Bus Stn"	6.45	7.22				"Mon-Fri"	2			
"0871"	"87Ltd"	"Vasantrao Naik Chowk"	10.58	16.42	"Bandra Colony Bus Stn"	9.55	15.30	22	20		"Mon-Fri"	2			
"0871"	"87Ltd"	"Vasantrao Naik Chowk"	19.15	22.20	"Bandra Colony Bus Stn"	17.50	21.20				"Mon-Fri"	2			
"0871"	"87Ltd"	"Mantralaya"	9.00	10.45	"Bandra Colony Bus Stn"	7.40	9.15	20	30		"Saturday"	3			
"0871"	"87Ltd"	"Mantralaya"	17.20	19.00	"Bandra Colony Bus Stn"	15.35	17.05				"Saturday"	3			
"0871"	"87Ltd"	"Vasantrao Naik Chowk"	7.45	8.10	"Bandra Colony Bus Stn"	6.50	7.15	26	30		"Saturday"	3			
"0871"	"87Ltd"	"Vasantrao Naik Chowk"	10.58	16.35	"Bandra Colony Bus Stn"	9.55	15.25				"Saturday"	3			
"0871"	"87Ltd"	"Vasantrao Naik Chowk"	19.00	22.15	"Bandra Colony Bus Stn"	17.35	21.15				"Saturday"	3			
"0871"	"87Ltd"	"Pt. Paluskar Chowk"	8.05	22.05	"Bandra Colony Bus Stn"	7.15	21.00	26	24	25	"Sun-Hol"	4			
"0880"	88	"Hutatma Chowk"	6.30	8.17	"Prateeksha Nagar Depot"	5.30	6.48	13	15	15	"Mon-Fri"	2			
"0880"	88	"Hutatma Chowk"	20.30	22.00	"Prateeksha Nagar Depot"	18.40	20.15				"Mon-Fri"	2			
"0880"	88	"Mantralaya"	8.40	20.15	"Prateeksha Nagar Depot"	7.05	18.20				"Mon-Fri"	2			
"0880"	88	"Mantralaya"	8.40	20.00	"Prateeksha Nagar Depot"	7.05	18.05	30	28	29	"Saturday"	3			
"0880"	88	"Hutatma Chowk"	20.25	22.00	"Prateeksha Nagar Depot"	18.35	20.15				"Saturday"	3			
"0880"	88	"Hutatma Chowk"	6.30	8.17	"Prateeksha Nagar Depot"	5.30	6.48				"Saturday"	3			
"0880"	88	"Hutatma Chowk"	8.50	19.50	"Prateeksha Nagar Depot"	7.30	18.15	22	20	20	"Sun-Hol"	4			
"0880"	88	"Pt. Paluskar Chowk"	19.55	21.55	"Prateeksha Nagar Depot"	18.37	20.45				"Sun-Hol"	4			
"0880"	88	"Com.P.K.Kurne Chowk"	16.05	19.25	"Prateeksha Nagar Depot"	15.05	18.25				"Sun-Hol"	4			
"0890"	89	"Mantralaya"	7.50	21.10	"Worli Depot"	7.00	20.20	17	23	20	"Mon-Fri"	2			
"0890"	89	"Pt. Paluskar Chowk"	7.00	" "	"Worli Depot"	6.30	" "				"Mon-Fri"	2			
"0890"	89	"Mantralaya"	7.50	21.25	"Worli Depot"	7.00	20.20	21	23	23	"Saturday"	3			
"0890"	89	"Mantralaya"	8.45	20.00	"Worli Depot"	8.05	19.20	27	29	23	"Holiday"	4			
"0890"	89	"Pt. Paluskar Chowk"	20.25	20.45	"Worli Depot"	19.45	20.05				"Holiday"	4			
"0911"	"91Ltd"	"Mumbai Central Depot"	6.20	20.50	"Kurla Station(W)"	7.35	22.25	22	24	27	"Mon-Sat"	2			
"0911"	"91Ltd"	"Mumbai Central Depot"	7.25	20.40	"Kurla Station(W)"	8.50	22.25	22	25	26	"Sun-Hol"	4			
"0921"	"92Ltd"	"Pt. Paluskar Chowk"	7.15	8.13	"Anushakti Nagar"			18	28	30	"Mon-Sat-Hol"	2			
"0921"	"92Ltd"	"Pt. Paluskar Chowk"	" "	" "	"Deonar Depot"	6.05	6.45				"Mon-Sat-Hol"	2			
"0921"	"92Ltd"	"World Trade Centre"	8.50	11.54	"Anushakti Nagar"	6.55	9.44				"Mon-Sat-Hol"	2			
"0921"	"92Ltd"	"Vasantrao Naik Chowk"	11.53	16.10	"Anushakti Nagar"	10.13	14.30				"Mon-Sat-Hol"	2			
"0921"	"92Ltd"	"World Trade Centre"	16.25	19.50	"Anushakti Nagar"	14.15	17.45				"Mon-Sat-Hol"	2			
"0921"	"92Ltd"	"Pt. Paluskar Chowk"	20.40	22.25	"Anushakti Nagar"	18.23	20.55				"Mon-Sat-Hol"	2			
"0921"	"92Ltd"	"Pt. Paluskar Chowk"	8.15	22.25	"Anushakti Nagar"	7.00	21.25	28	32	29	"Sunday"	4			
"0921"	"92Ltd"	"Pt. Paluskar Chowk"	22.50		"Deonar Depot"						"Sunday"	4			
"0931"	"93Ltd"	"Pt. Paluskar Chowk"	7.20	8.10	"Govandi Bus Station"	6.15	6.45	18	31	26	"Mon-Sat-Hol"	2			
"0931"	"93Ltd"	"Mantralaya"	8.35	11.50	"Govandi Bus Station"	7.00	9.50	23	24		"Mon-Sat-Hol"	2			
"0931"	"93Ltd"	"Mantralaya"	16.20	19.30	"Govandi Bus Station"	14.20	17.55				"Mon-Sat-Hol"	2			
"0931"	"93Ltd"	"Pt. Paluskar Chowk"	12.10	15.50	"Govandi Bus Station"	10.20	14.00				"Mon-Sat-Hol"	2			
"0931"	"93Ltd"	"Pt. Paluskar Chowk"			"Govandi Bus Station"	18.25	21.10				"Mon-Sat-Hol"	2			
"0931"	"93Ltd"	"Pt. Paluskar Chowk"	20.35	22.40	"Deonar Depot"						"Mon-Sat-Hol"	2			
"0931"	"93Ltd"	"Babulnath"	8.00	22.40	"Anushakti Nagar"	6.45	21.10	34	28	31	"Sunday"	4			
"1004"	"100R"	"Ahilyabai Holkar Chowk"	8.30	19.00	"Free Press Journal"	8.38	19.09	4	6	4	"Mon-Fri"	2			
"1004"	"100R"	"Ahilyabai Holkar Chowk"	8.30	18.10	"Free Press Journal"	8.36	18.18	4	4	4	"Saturday"	3			
"1010"	101	"Electric House"	6.20	22.30	"Walkeshwar"	6.50	23.25	24	22	24	"Mon-Fri"	2			
"1010"	101	"Electric House"	6.20	22.30	"Walkeshwar"	6.50	23.25	28	20	25	"Saturday"	3			
"1010"	101	"Electric House"	6.10	22.55	"Walkeshwar"	6.45	23.40	15	19	19	"Holiday"	4			
"1030"	103	"R.C.Church"	6.00	22.05	"Kamala Nehru Park"	6.15	22.40	10	10	11	"Mon-Fri"	2			
"1030"	103	"Colaba Depot"	5.33	5.51	"Kamala Nehru Park"		23.05				"Mon-Fri"	2			
"1030"	103	"R.C.Church"	19.50	21.50	"Walkeshwar"	21.05	" "				"Mon-Fri"	2			
"1030"	103	"R.C.Church"	22.25	23.15	"Mahatma Phule Market"	22.50	23.40				"Mon-Fri"	2			
"1030"	103	"R.C.Church"	6.00	22.05	"Kamala Nehru Park"	6.15	22.45	9	9	11	"Saturday"	3			
"1030"	103	"Colaba Depot"	5.33	5.51	"Kamala Nehru Park"	21.06	23.05				"Saturday"	3			
"1030"	103	"R.C.Church"	19.35	21.35	"Walkeshwar"	21.00					"Saturday"	3			
"1030"	103	"R.C.Church"	22.25	23.15	"M.Phule Market"	22.50	23.40				"Saturday"	3			
"1030"	103	"R.C.Church"	6.10	20.30	"Kamala Nehru Park"	6.00	21.40	11	13	11	"Sunday"	4			
"1030"	103	"Colaba Depot"	5.20	6.05	"Kamala Nehru Park"						"Sunday"	4			
"1030"	103	"R.C.Church"	20.45	22.10	"Walkeshwar"	21.50	22.15				"Sunday"	4			
"1030"	103	"R.C.Church"	21.55	0.06	"Mahatma Phule Market"	22.20	23.40				"Sunday"	4			
"1030"	103	"R.C.Church"	6.00	20.20	"Kamala Nehru Park"	6.15	21.30	10	11	10	"Holiday"	4			
"1030"	103	"Colaba Bus Station"	5.15	5.30	"Kamala Nehru Park"						"Holiday"	4			
"1030"	103	"R.C.Church"	20.31	21.15	"Walkeshwar"	21.40	22.20				"Holiday"	4			
"1030"	103	"R.C.Church"	21.35	23.30	"Mahatma Phule Market"	21.55	23.50				"Holiday"	4			
"1044"	"104R"	"J.Mehta Marg"	5.45	23.20	"Vijay Vallabh Chowk"	6.05	23.10	12	10	10	"Mon-Sat"	2			
"1044"	"104R"	"J.Mehta Marg"	6.00	23.35	"Vijay Vallabh Chowk"	6.20	23.03	10	12	10	"Sunday"	4			
"1044"	"104R"	"J.Mehta Marg"	6.00	23.30	"Vijay Vallabh Chowk"	6.23	23.10	10	12	10	"Holiday"	4			
"1054"	"105R"	"Kamala Nehru Park"	6.30	22.50	"Vijay Vallabh Chowk."	6.55	22.50	8	10	11	"Mon-Sat"	2			
"1054"	"105R"	"Kamala Nehru Park"	6.40	21.15	"Vijay Vallabh Chowk."	7.00	20.40	14	16	13	"Sunday"	4			
"1054"	"105R"	"Kamala Nehru Park"	7.15	21.05	"Vijay Vallabh Chowk."	7.43	20.35	11	13	16	"Holiday"	4			
"1060"	106	"R.C.Church"	6.05	20.40	"Kamala Nehru Park"	6.45	20.05	18	23	21	"Mon-Sat"	2			
"1060"	106	"Colaba Bus Station"	" "		"Kamala Nehru Park"	20.24	21.35				"Mon-Sat"	2			
"1060"	106	"R.C.Church"	7.15	7.52	"Walkeshwar"	7.55	8.32	33	33	39	"Sunday"	4			
"1060"	106	"R.C.Church"	8.32	19.18	"Kamala Nehru Park"	9.16	20.10				"Sunday"	4			
"1060"	106	"Colaba Bus Stn."	19.57	21.00	"Walkeshwar"	20.40	21.20				"Sunday"	4			
"1060"	106	"R.C.Church"	5.55	21.00	"Walkeshwar"	6.30	8.56	29	32	36	"Holiday"	4			
"1060"	106	"R.C.Church"	8.42	19.20	"Kamala Nehru Park"	9.28	20.10				"Holiday"	4			
"1060"	106	"R.C.Church"	19.58	21.00	"Walkeshwar"						"Holiday"	4			
"1060"	106	"Colaba Bus Stn"	21.25		"Walkeshwar"	21.20	20.40				"Holiday"	4			
