"Rtalias"	"``"	"From"	"F_F"	"F_L"	"To"	"T_F"	"T_L"	"AM"	"NOON"	"PM"	"Schedule"	"Primary"			
"0081"	"8Ltd"	"Mantralaya"	8.19	19.37	"Shivaji Nagar Terminus"	6.56	17.44	12	14	12	"Mon-Sat"	2			
"0081"	"8Ltd"	"Hutatma Chowk"	6.25	8.00	"Shivaji Nagar Terminus"	5.20	6.42				"Mon-Sat"	2			
"0081"	"8Ltd"	"Chh.Shivaji Terminus"	22.55	23.55	"Shivaji Nagar Terminus"	21.30	22.30				"Mon-Sat"	2			
"0081"	"8Ltd"	"Hutatma Chowk"	17.45	22.40	"Shivaji Nagar Terminus"	15.56	21.10				"Mon-Sat"	2			
"0081"	"8Ltd"	"Hutatma Chowk"	6.35	22.40	"Shivaji Nagar Terminus"	5.30	21.10	12	10	11	"Sun-Hol"	4			
"0081"	"8Ltd"	"Chh.Shivaji Terminus"	22.55	24.15	"Shivaji Nagar Terminus"	21.30	22.50				"Sun-Hol"	4			
"0090"	9	"Colaba Bus Station"	6.00	20.25	"Nadkarni Park"	6.40	18.42	16	18	22	"Mon-Fri"	2			
"0090"	9	"Colaba Depot"	5.35	5.55	"Nadkarni Park"	19.00	22.05				"Mon-Fri"	2			
"0090"	9	"Colaba Depot"	"5.10
20.53"	"5.30
22.25"	"Antop Hill"	22.28	23.40				"Mon-Fri"	2			
"0090"	9	"Colaba Bus Station"			"Antop Hill"	6.05	6.25				"Mon-Fri"	2			
"0090"	9	"Colaba Bus Station"	6.00	20.25	"Nadkarni Park"	6.40	18.40	20	22	22	"Saturday"	3			
"0090"	9	"Colaba Depot"	5.35	5.55	"Nadkarni Park"	19.01	22.05				"Saturday"	3			
"0090"	9	"Electric House"	"5.10
20.55"	"5.30
22.25"	"Antop Hill"	22.30	23.40				"Saturday"	3			
"0090"	9	"Colaba Bus Station"			"Antop Hill"	6.05	6.25				"Saturday"	3			
"0090"	9	"Colaba Depot"	5.10	5.30	"Antop Hill"	" "	" "				"Saturday"	3			
"0090"	9	"Colaba Depot"	6.30	20.25	"Nadkarni Park"	6.40	18.20	18	21	22	"Sunday"	4			
"0090"	9	"Colaba Depot"	5.35	" "	"Nadkarni Park"	18.43	22.05				"Sunday"	4			
"0090"	9	"Colaba Bus Stn
Colaba Depot"	"5.15
20.53"	"6.15
22.25"	"Antop Hill
Antop Hill"	"6.10
22.28"	23.40				"Sunday"	4			
"0090"	9	"Colaba Bus Station"	6.30	20.25	"Nadkarni Park"	6.40	18.30	20	21	22	"Holiday"	4			
"0090"	9	"Colaba Depot"	5.35	6.15	"Nadkarni Park"	18.51	22.05				"Holiday"	4			
"0090"	9	"Colaba Depot"	"5.10
20.53"	"5.25
22.25"	"Antop Hill"	22.28	23.40				"Holiday"	4			
"0090"	9	"Colaba Bus Station"			"Antop Hill"	6.05	6.25				"Holiday"	4			
"0101"	"10Ltd"	"Hutatma Chowk"	7.00	22.15	"Ghatkopar Depot"	5.50	20.25	30	30	30	"Mon-Fri"	2			
"0101"	"10Ltd"	"Hutatma Chowk"	7.25	22.15	"Ghatkopar Depot"	6.10	20.25	25	30	27	"Saturday"	3			
"0101"	"10Ltd"	"Hutatma Chowk"	8.20	22.10	"Ghatkopar Depot"	7.00	20.35	23	25	24	"Sun-Hol"	4			
"0111"	"11Ltd"	"Navy Nagar"	8.15	20.30	"Bandra Colony Bus Stn"	7.00	18.35	20	25	23	"Mon-Fri-Hol"	2			
"0111"	"11Ltd"	"Chh.Shivaji Terminus"	7.30	8.00	"Bandra Colony Bus Stn"	6.30	6.45	" "	" "		"Mon-Fri-Hol"	2			
"0111"	"11Ltd"	"Chh.Shivaji Terminus"	20.20	21.50	"Bandra Colony Bus Stn"	18.59	20.30				"Mon-Fri-Hol"	2			
"0111"	"11Ltd"	"Navy Nagar"	8.15	20.35	"Bandra Colony Bus Stn"	7.00	18.49	20	28	25	"Saturday"	3			
"0111"	"11Ltd"	"Chh.Shivaji Terminus"	7.30	8.00	"Bandra Colony Bus Stn"	6.30	6.45				"Saturday"	3			
"0111"	"11Ltd"	"Chh.Shivaji Terminus"	20.35	21.50	"Bandra Colony Bus Stn"	19.14	20.30				"Saturday"	3			
"0111"	"11Ltd"	"Navy Nagar"	9.25	21.25	"Bandra Colony Bus Stn"	8.15	21.05	22	25	22	"Sunday"	4			
"0111"	"11Ltd"	"Navy Nagar"	21.48	22.35	"Dharavi Depot"						"Sunday"	4			
"0111"	"11Ltd"	"Chh.Shivaji Terminus"	8.10	8.55	"Bandra Colony Bus Stn"	7.15	7.55				"Sunday"	4			
"0140"	14	"Dr.S.P.Mukherji Chowk"	7.30	22.10	"Prateeksha Nagar Depot"	6.15	20.30	12	17	14	"Mon-Sat"	2			
"0140"	14	"Dr.S.P.Mukherji Chowk"	7.50	22.15	"Prateeksha Nagar Depot"	6.35	20.45	23	20	21	"Holiday"	4			
"0140"	14	"Dr.S.P.Mukherji Chowk"	8.20	22.20	"Prateeksha Nagar Depot"	7.05	20.50	18	15	15	"Sunday"	4			
"0150"	15	"Mantralaya"	8.30	22.45	"Prateeksha Nagar Depot"	7.10	21.20	12	13	13	"Mon-Sat"	2			
"0150"	15	"Vasudeo B. Phadke Chowk"	6.30	6.55	"Prateeksha Nagar Depot"	5.45	6.10				"Mon-Sat"	2			
"0150"	15	"Vasudeo B. Phadke Chowk"	5.50		"Prateeksha Nagar Depot"	5.20					"Mon-Sat"	2			
"0150"	15	"Hutatma Chowk"	7.20	"8.15"	"Prateeksha Nagar Depot"	6.30	7.00	" "	" "		"Mon-Sat"	2			
"0150"	15	"Hutatma Chowk"	23.05	24.10	"Prateeksha Nagar Depot"	21.45	23.00				"Mon-Sat"	2			
"0150"	15	"Vasudeo B. Phadke Chowk"	6.25	6.45	"Prateeksha Nagar Depot"	5.45	6.05	16	13	13	"Sun-Hol"	4			
"0150"	15	"Hutatma Chowk"	7.25	8.50	"Prateeksha Nagar Depot"	6.25	7.25				"Sun-Hol"	4			
"0150"	15	"Mantralaya"	8.55	21.00	"Prateeksha Nagar Depot"	7.37	19.26				"Sun-Hol"	4			
"0150"	15	"Hutatma Chowk"	21.10	23.15	"Prateeksha Nagar Depot"	19.40	22.05				"Sun-Hol"	4			
"0161"	"16Ltd"	"Ambika Mills Bus Station"	6.30	21.20	"SRA Vashi NaKa"	6.30	22.45	24	24	27	"All Days"	1			
"0171"	"17Ltd"	"Backbay Depot"	6.00	22.00	"Vidyavihar Bus Stn"	7.30	23.35	25	26	27	"Mon-Sat"	2			
"0171"	"17Ltd"	"Backbay Depot"	7.40	19.55	"M.Phule Market"	8.05	20.25	29	31		"Mon-Fri"	2			
"0171"	"17Ltd"	"Backbay Depot"	6.00	22.00	"Vidyavihar Bus Stn"	7.30	23.35	27	27	25	"Sun-Hol"	4			
"0191"	"19Ltd"	"Mantralaya"	9.00	21.05	"Shivaji Nagar Bus Station"	7.30	19.35	25	13	13	"Mon-Sat"	2			
"0191"	"19Ltd"	"Mantralaya"	9.10	12.05	"Dr.Ambedkar Udyan"	8.00	11.00	15	20		"Mon-Sat"	2			
"0191"	"19Ltd"	"Mantralaya"	9.20	21.05	"Shivaji Nagar Bus Station"	7.50	19.35	18	18	18	"Sun-Hol"	4			
"0201"	"20Ltd"	"Shivaji Nagar Depot"	7.30	19.50	"Dr.S.P.M.Chk."	9.05	21.50	28	30	31	"Mon-Sat"	2			
"0201"	"20Ltd"	"Shivaji Nagar Depot"	7.30	19.40	"Dr.S.P.M.Chk."	9.00	21.20	27	24	27	"Sun-Hol"	4			
"0211"	"21Ltd"	"Dr.S.P.Mukherji Chowk"	6.30	11.58	"Trombay"	5.30	10.15	24	25	27	"Mon-Sat"	2			
"0211"	"21Ltd"	"Jijamata Udyan"	11.54	16.05	"Trombay"	10.34	14.45				"Mon-Sat"	2			
"0211"	"21Ltd"	"Dr.S.P.Mukherji Chowk"	15.50	21.30	"Trombay"	15.08	20.30				"Mon-Sat"	2			
"0211"	"21Ltd"	"Dr.S.P.Mukherji Chowk"	21.50	22.10	"Anushakti Nagar"						"Mon-Sat"	2			
"0211"	"21Ltd"	"Dr.S.P.Mukherji Chowk"	6.30	21.45	"Trombay"	5.30	20.20	20	16	17	"Sun-Hol"	4			
"0221"	"22Ltd"	"Chh.Shivaji Terminus"	6.50	23.00	"Marol Maroshi Bus Station"	5.45	21.30	28	30	" "	"Mon-Sat"	2			
"0221"	"22Ltd"	"Electric House"	5.55	21.15	"Marol Maroshi Bus Station"	7.10	23.00	30	30	" "	"Mon-Sat"	2			
"0221"	"22Ltd"	"Chh.Shivaji Terminus"	7.05	22.40	"Marol Maroshi Bus Station"	6.00	21.20	26	28	" "	"Sun-Hol"	4			
"0221"	"22Ltd"	"Electric House"	6.00	20.50	"Marol Maroshi Bus Station"	7.15	22.20	26	28	" "	"Sun-Hol"	4			
"0251"	"25Ltd"	"Backbay Depot"	5.00	20.30	"Vihar Lake"	5.55	22.45	19	19	23	"Mon-Fri"	2			
"0251"	"25Ltd"	"Backbay Depot"	5.00	20.30	"Vihar Lake"	5.55	22.25	21	21	20	"Saturday"	3			
"0251"	"25Ltd"	"Backbay Depot "	5.20	20.35	"Vihar Lake"	6.15	22.20	18	22	23	"Sunday"	4			
"0251"	"25Ltd"	"Backbay Depot"	5.20	20.30	"Vihar Lake"	6.15	22.20	16	17	18	"Holiday"	4			
"0261"	"26Ltd"	"Central Depot"	7.00	19.15	"Mahul Village"	8.15	20.50	28	36	30	"Mon-Sat"	2			
"0261"	"26Ltd"	"Central Depot"	7.05	19.00	"Mahul Village"	8.15	20.30	43	34	36	"Sun-Hol"	4			
"0270"	27	"Worli Depot"	5.00	22.15	"Vaishali Nagar(Mulund)"	6.20	24.00	12	14	15	"Mon-Sat"	2			
