RouteNo	BusesAM	BusesNoon	BusesPM	RouteType	Depot	FromStop	FirstFrom	LastFrom	ToStop	FirstTo	LastTo	RouteSpan	Runtime7to11	Runtime11to17	Runtime17toEnd	RuntimeNight	HeadwayUpto7	Headway7to11	Headway11to17	Headway17to20	Headway20toLast	ReliefPoint	TravelTime	Schedule
	6	6	6	SD	CND	R.C.Church	6.20	23.10	Vasantrao Naik Chowk	5.45	22.30	10.4	33	42	45		24	15	15	16	18	Vasantrao Naik Chowk	10	HOL
124	20	20	20	SD	WLD	Colaba Bus Station	5.10	22.55	Worli Depot	5.45	21.20	16.8	60	90	95	110	12	8	10	11	16	Worli Depot 	 ---	MS
						Dr.S.P.Mukherji Chowk	22.55	0.20	Worli Depot	21.35	23.15	15.1												
	12	14	15	SD	WLD	Colaba Bus Station	5.15	23.25	Worli Depot	6.10	22.17	16.8	70	73	 		23	19	19	18	18	Worli Depot 	 ---	SH
						Dr.S.P.Mukherji Chowk	 	0.05	Worli Depot	 	23.00	15.1					12	12	12	10	10			
	0	0	6	SD	CND	Dr.S.P.M.Chowk	15.15	21.46	V.Desai Chk	15.14	22.26					45			16	15	15			
125	7	7	7	SD	WLD	Navy Nagar	7.00	22.30	Worli Village	6.05	21.05	16.4	50	87	94	 	20	24	26	28	32	Wolri Village	15	MS
	8	7	8	SD	WLD	Navy Nagar	7.20	22.10	Worli Village	6.15	20.50	16.4	65	70	80		 	22	26	26	28	Worli Village	15	SH
126	8	7	8	SD	CND	Mantralaya	8.00	20.35	Jijamata Udyan	7.05	19.00	13.0	50	65	85	95	15	20	25	24	25	Jijamata Udyan	15	MS
						Chh.Shivaji Terminus	7.05	7.41	Jijamata Udyan	6.20	6.51													
						Chh.Shivaji Terminus	20.53	22.05	Jijamata Udyan	19.25	21.40													
						Chh.Shivaji Terminus	22.23	22.40	Mumbai Central Depot															
	4	5	6	SD	CND	Mantralaya	12.25	20.30	Jijamata Udyan	11.37	19.25	13.0	41	50	55	60	25	27	23	25	21	Jijamata Udyan	15	SUN
						Chh.Shivaji Terminus	7.15	12.26	Jijamata Udyan	6.20	11.12	10.6												
						Chh.Shivaji Terminus	20.54	21.40	Jijamata Udyan	19.41	21.30	10.6												
						Chh.Shivaji Terminus	20.32	22.18	Mumbai Central Depot			5.8												
	6	5	6	SD	CND	Mantralaya	7.15	20.25	Jijamata Udyan	6.20	19.08	13.0	60	69	60	73	24	20	24	24	26	Jijamata Udyan	15	HOL
						Chh.Shivaji Terminus	20.58	21.45	Jijamata Udyan	19.32	21.35	10.6												
						Chh.Shivaji Terminus	20.43	22.20	Mumbai Central Depot			5.8												
130	7	6	7	SD	CND	Dr.S.P.Mukherji Chowk	6.15	23.05	Vasantrao Naik Chowk.	5.45	22.25	6.4	28	37	50	55	15	9	13	12	20	Vasantrao Naik Chowk	10	MS
	5	6	7	SD	CND	Dr.S.P.Mukherji Chowk	6.40	23.05	Vasantrao Naik Chowk.	6.10	22.25	6.4	25	35	40		14	16	13	13	16	Vasantrao Naik Chowk	10	SH
132R	7	6	7	SD	BB	Colaba Bus Station	6.00	23.05	Colaba Bus Stn Via Naik Chowk	 		20.5	65	100	110	118	20	15	20	15	15	Colaba Bus Station.	15	MF
	7	6	7	SD	BB	Colaba Bus Station	6.00	23.05	Colaba Bus Stn Via Naik Chowk			20.5	65	100	120	118	20	13	20	17	17	Colaba Bus Station.	15	SAT
	3	3	3	SD	BB	Colaba Bus Station	7.10	22.30	Colaba Bus Stn Via Naik Chowk			20.5	75	85	95		27	30	30	33	30	Colaba Bus Station	15	SUN
	6	6	6	SD	BB	Colaba Bus Station	6.00	23.10	Colaba Bus Stn Via Naik Chowk	 		20.5	65	90	100		24	15	17	18	16	Colaba Bus Station.	15	HOL
133R	7	5	7	SD	BB	Colaba Bus Station	6.10	22.00	Colaba Bus Stn Via Naik Chowk	 		20.5	65	100	120	118	20	15	20	15	15	Colaba Bus Station.	15	MF
	3	0	0	SD	BB	Ahilyabai Holkar Chowk	8.40	11.50	Colaba Bus Station	9.05	11.27		18	20			18	20	 ---	 ---	 ---	 		
	10	5	7	SD	BB	Colaba Bus Station	6.30	22.00	Colaba Bus Stn Via Naik Chowk	 	 	20.5	65	100	120	118	20	15	14	20	15	Colaba Bus Station.	15	SAT
	3	3	3	SD	BB	Colaba Bus Station	7.55	21.15	Colaba Bus Stn Via Naik Chowk	 		20.5	75	85	95		25	30	30	33	32	Colaba Bus Station.	15	SUN
	6	6	6	SD	BB	Colaba Bus Station	6.10	22.05	Colaba Bus Stn Via Naik Chowk	 	 	20.5	65	90	100		25	15	15	17	17	Colaba Bus Station.	15	HOL
134	9	7	9	SD	BB	Backbay Depot	6.00	21.00	P.Thakre Udyan	6.15	21.55	16.2	55	72	77	94	25	16	19	22	20	Backbay Depot	 --	MF
						Backbay Depot	21.23	21.45	Jijamata Udyan													Backbay Depot	 --	
	9	7	9	SD	BB	Backbay Depot	6.00	21.00	P.Thakre Udyan	6.35	21.55	16.2	55	72	77	94	25	16	19	22	20	Backbay Depot	 --	SAT
						Backbay Depot	21.23	21.45	Jijamata Udyan													Backbay Depot	 --	
	5	5	5	SD	BB	Backbay Depot	7.25	21.10	P.Thakre Udyan	7.10	21.05	12.6	55	60	65	 	 	24	25	27	 	Backbay Depot	 --	SUN
	5	5	5	SD	BB	Backbay Depot	6.15	21.05	P.Thakre Udyan	6.35	21.20	12.6	55	60	 	65	30	20	22	23	 	Backbay Depot	 --	HOL
135	11	9	11	SD	CND	Ferry Wharf	6.20	21.15	J.Mehta Marg	6.00	20.20	9.1	42	55	65		15	11	13	13	18	J.Mehta Marg	35	MS
						Mazgaon Dock	21.28	0.05	J.Mehta Marg	20.40	23.50	7.8												
	6	7	7	SD	CND	Ferry Wharf	6.15	21.00	J.Mehta Marg	6.35	20.05	9.1	35	49	56		14	12	15	16	17	J.Mehta Marg	35	SUN
						Mazgaon Dock	21.10	24.08	J.Mehta Marg	20.25	24.00	7.8												
	6	6	7	SD	CND	Ferry Wharf	6.08	21.00	J.Mehta Marg	6.20	20.08	9.1	33	46	54		12	13	16	16	17	J.Mehta Marg	35	HOL
						Mazgaon Dock	21.12	0.05	J.Mehta Marg	20.25	0.05	7.8												
137R	7	7	9	SD	BB	Navy Nagar	6.53	22.50	Ahilyabai Holkar Chowk			11.8	40	50	55		17	7	9	8	7	Navy Nagar	15	MS
	3	3	3	SD	BB	Navy Nagar	6.30	22.50	Ahilyabai Holkar Chowk			11.8	35	45	50		22	19	13	18	18	Navy Nagar	15	SUN
	5	4	5	SD	BB	Navy Nagar	6.30	22.50	Ahilyabai Holkar Chowk	6.22		11.8	40	50	55		15	11	12	12	15	Navy Nagar	15	HOL
138	13	11	13	DD	BB	Backbay Depot	5.40	 	Chh.Shivaji Terminus	6.05	23.55	6.2	23	27	29		15	5	6	4	12	Backbay Depot 	 ---	MF
	0	0	3	SD	BB			23.30	Chh.Shivaji Terminus															
	11	9	9	DD	BB	Backbay Depot	5.40	 	Chh.Shivaji Terminus	6.05	 	6.2	23	27	29		15	5	5	4	10	Backbay Depot	 ----	SAT
	3	3	5	SD	BB			23.30	Chh.Shivaji Terminus		23.55													
	10	10	10	SD	BB	Backbay Depot	5.40	23.20	Chh.Shivaji Terminus	6.05	23.45	6.2	23	24	27		15	9	6	6	10	Backbay Depot 	 ---	SUN
	11	9	11	DD	BB	Backbay Depot	5.40	23.20	Chh.Shivaji Terminus	6.05	23.45	6.2	24	27			15	6	6	7	15	Backbay Depot 	 ----	HOL
151	9	8	9	SD	WD	J.Mehta Marg	6.40	9.43	Kabutarkhana(Dadar-W)	7.10	10.33	11.5	35	49	59	69	7	14	12			Wadala Depot	 --	MS
						J.Mehta Marg	9.52	21.50	Wadala Depot	6.00	18.23	12.8												
						J.Mehta Marg	17.23	19.35	Veer Kotwal Udyan	18.32	20.44													
	6	4	6	SD	WD	J.Mehta Marg	6.40	9.44	Kabutarkhana(Dadar-W)	7.10	9.43	11.5	35	49	59	69	15	10	16	14	  ---	Wadala Depot 	 ---	HOL
						J.Mehta Marg	9.10	22.00	Wadala Depot	6.00	18.36	12.8	59	69										
						J.Mehta Marg	10.56	19.48	Veer Kotwal Udyan	11.55	20.57													
154	8	6	8	SD	CND	Byculla Station(W)	6.25	23.00	N.S.C.I.(Worli)	6.42	22.38	4.6	32	42	48	58	13	6	8	7	10	Byculla Station(W)	15	MS
	3	4	5	SD	CND	Byculla Station(W)	6.45	23.00	N.S.C.I.(Worli)	7.02	22.36	4.6	35	42	47		13	14	16	10	12	Byculla Station(W)	15	SUN
	8	6	8	SD	CND	Byculla Station(W)	6.45	23.00	N.S.C.I.(Worli)	7.02	22.40	4.6	35	42	47	42	12	6	8	7	 	Byculla Station(W)	15	HOL
155R	6	6	7	SD	CND	Grant Road Station(W)	6.00	23.15	Via Jaslok Hospital			4.8	17	27	32	37	10	7	3	5	5	Vasantrao Naik Chowk	10	MF
	6	6	6	SD	CND	Grant Road Station(W)	6.00	23.15	Via Jaslok Hospital			4.8	17	27	32	37		7	5	7	9	Vasantrao Naik Chowk	10	SAT
	3	3	3	SD	CND	Grant Road Station(W)	6.10	22.55	Via Jaslok Hospital			4.8	22	25			8	8	8	9	8	Vasantrao Naik Chowk	10	SUN
	5	4	5	SD	CND	Grant Road Station(W)	6.10	22.55	Via Jaslok Hospital			4.8	27				14	5	7	6	10	Vasantrao Naik Chowk	10	HOL
156	5	4	5	SD	CND	Byculla Stn(W)	6.55	20.20	Via Simla House	6.30	21.00	6.4	33	38	40		13	15	19	20		Byculla Stn.(W)	15	MS
	6	5	6	SD	CND	Byculla Stn(W)	6.55	20.20	Via Simla House	6.30	21.00	6.4	33	38	40	 	11	13	15	16	16	Byculla Stn.(W)	15	HOL
	4	3	4	SD	CND	Byculla Stn(W)	7.00	20.20	Via Simla House	7.00	21.00	6.4	35	38	33	 	18	24	26	19	 --	Byculla Stn.(W)	15	SUN
158	3	3	3	MD	WLD	Byculla Station(W)	6.00	21.30	Ram Ganesh Gadkari Chk	6.30	20.45	8.1	27	40	45		21	21	29	24		Com.P.K.Kurne Chowk	15	FW
161	4	4	4	SD	PR	Worli Depot	6.05	20.55	Nadkarni Park	6.20	21.25	10.6	40	56	 		21	26	26	27	27	Nadkarni Park	30	MS
	3	4	4	SD	PR	Worli Depot	7.00	20.30	Nadkarni Park	7.25	21.15	10.6	40	42				29	23	23	23	Nadkarni Park	30	SH
162	11	10	11	SD	WLD	P.Thakre Udyan	6.05	24.35	Worli Village	5.40	24.10	4.8	20	26	31	36	12	7	7	8	8	Worli Village	15	MF
	9	7	9	SD	WLD	P.Thakre Udyan	6.05	24.35	Worli Village	5.40	24.10	4.8	20	26	31	36	12	8	9	9	9	Worli Village	15	SAT
	6	7	7	SD	WLD	P.Thakre Udyan	6.05	24.30	Worli Village	5.40	24.05	4.8	20	22	31	 	12	6	8	6	10	Worli Village	15	SUN
	8	7	8	SD	WLD	P.Thakre Udyan	6.05	24.35	Worli Village	5.40	24.10	4.8	20	26	22	31	8	6	7	9	24	Worli Village	15	HOL
163	3	3	3	MD	WLD	Worli Depot	6.35	21.05	P.Thakre Udyan	7.00	21.40	5.4	25	30	35	40	21	21	24	21	28	Worli Depot 	 ---	MS&HOL
164	7	7	7	SD	DH	M.P.Chowk(Mazgaon)	7.45	22.25	Dharavi Depot	6.35	21.05	17.6	65	85	90		20	23	22	24	25	Dharavi Depot 	 ----	MS
						Ambika Mills Bus Station	6.50	7.10	Dharavi Depot	6.05	6.25	13.3												
	4	4	5	SD	DH	M.P.Chowk(Mazgaon)	8.00	22.15	Dharavi Depot	6.50	21.05		68	70				35	28	29	29	Dharavi Depot 	 ---	SH
165	11	10	11	SD	DH	Kasturba Gandhi Chowk	5.20	0.40	Dharavi Depot	4.20	23.40	16.6	55	65	95	100	14	17	13	13	22	Dharavi Depot 	 ---	MS&HOL
	11	9	11	SD	DH	Kasturba Gandhi Chowk	5.15	0.40	Dharavi Depot	4.20	23.40	16.6	50	70	85	90	12	16	20	17	17	Dharavi Depot 	 ---	SUN
166	10	10	10	SD	CND	Mumbai Central Depot	5.20	22.05	Antop Hill	6.20	21.40	27.5	60	105	110		15	18	22	19	27	Mumbai Central Depot 	 ---	FW
167R	7	4	7	SD	WLD	Com.P.K.Kurne Chk.	6.00	23.10	Elphinstone Rly.Stn.(W)	6.08	23.19	3.5	8	15	 		4	3	6	3	6	Com.P.K.Kurne Chowk	15	MF
 	5	4	5	SD	WLD	Com.P.K.Kurne Chk.	6.00	23.10	Elphinstone Rly.Stn.(W)	6.08	23.18	3.5	8	16	20		9	4	6	5	6	Com.P.K.Kurne Chowk	15	SAT
	4	3	4	SD	WLD	Com.P.K.Kurne Chk.	6.00	23.10	Elphinstone Rly.Stn.(W)	6.08	23.19	3.5	8	10	 		6	5	7	6	6	Com.P.K.Kurne Chowk	15	HOL
	3	3	3	SD	WLD	Com.P.K.Kurne Chk.	6.00	23.05	Elphinstone Rly.Stn.(W)	6.08	23.13	3.5	18				6	6	6	6	9	Com.P.K.Kurne Chowk	15	SUN
168	10	8	11	SD	WD	Lal Bahadur Shastri College	6.05	23.50	Wadala Depot	5.27	23.00	14.2	40	60	65		11	10	12	10	12	Wadala Depot 	 ---	MF
	10	8	11	SD	WD	Lal Bahadur Shastri College	6.05	23.50	Wadala Depot	5.25	23.00	14.2	40	60	65		10	13	17	13	17	Wadala Depot	 ---	SAT
	10	8	10	SD	WD	Lal Bahadur Shastri College	6.12	23.50	Wadala Depot	5.27	23.00	14.2	40	60	65	40	13	16	14	14	20	Wadala Depot 	 ---	SUN
	10	8	10	SD	WD	Lal Bahadur Shastri College	5.50	24.10	Wadala Depot	5.10	23.15	14.2	40	60	65	40	13	16	14	14	20			HOL
169	10	9	10	SD	PR	Worli Village	5.30	23.30	Prateeksha Nagar Depot	4.50	22.45	11.6	35	40	50	67	10	12	12	13	16	Prateeksha Nagar Depot	 ----	MS
	8	8	11	SD	PR	Worli Village	5.30	24.00	Prateeksha Nagar Depot	4.50	23.15	11.6	30	49	42		15	12	10	10	30	Prateeksha Nagar Depot	 ----	SH
 	2	2	2	SD	WLD	Worli Village	7.40	20.45	Veer Kotwal Udyan	8.00	21.05		20	25				21	21	26		Worli Village	15	FW
170	5	4	5	SD	PR	Antop Hill Extn.	6.00	20.25	Rani Laxmi Chowk	6.19	20.01	3.2	22	24			12	9	12	9	11	Antop Hill	20	FW
						Antop Hill	20.40	22.50	Rani Laxmi Chowk	20.09	23.05	3.2	 	 			9	6	10	7	9	Antop Hill	20	
171	8	7	8	SD	WLD	Worli Dairy	6.20	21.15	Antop Hill	6.25	20.05	12.9	35	52	62		15	16	17	20	17	Worli Dairy	15	MF
						Worli Dairy	9.08	10.50	Veer Kotwal Udyan	8.35	11.20	15.6												
	8	7	7	SD	WLD	Worli Dairy	6.20	21.15	Antop Hill	6.25	20.05	12.9	35	52	62		15	16	17	20	17	Worli Dairy	15	SAT
						Worli Dairy	9.08	10.50	Veer Kotwal Udyan	8.35	11.20	15.6												
	7	7	8	SD	WLD	Worli Dairy	7.05	21.15	Antop Hill	8.00	20.57	12.9	50	60	65		15	11	14	11	15	Worli Dairy	15	SH
						Com.P.K.Kurne Chowk	21.55	23.00	Antop Hill	21.14	23.40	10.5												
172	18	14	18	SD	PR	S.G.M.Chowk	6.00	0.30	Prateeksha Nagar Depot	5.15	23.40	15.0	43	70	68	73	7	8	10	8	9	Prateeksha Nagar Depot	 ----	MF
	5	2	5	SD	PR	Com.P.K.Kurne Chk.	8.50	22.23	Prateeksha Nagar Depot	8.00	21.10	8.0	40				 	12	 		15	Prateeksha Nagar Depot	 ---	
	18	14	18	SD	PR	S.G.M.Chowk	6.00	0.30	Prateeksha Nagar Depot	5.15	23.40	15.0	43	70	68	73	7	8	10	8	9	Prateeksha Nagar Depot	 ----	SAT
	5	2	3	SD	PR	Com.P.K.Kurne Chk.	8.50	22.23	Prateeksha Nagar Depot	8.00	21.10	8.0	40				 	12	 		15	Prateeksha Nagar Depot	 ---	
	15	15	16	SD	PR	S.G.M.Chowk	6.25	0.35	Prateeksha Nagar Depot	5.30	23.40	15.0	50	60	65		20	9	9	9	12	Prateeksha Nagar Depot	 ----	SH
	0	0	4	SD	PR	Veer Kotwal Udyan	16.52	22.10	Prateeksha Nagar Depot	16.20	21.40	8.0	32	45				 ---	 ---	15	19			
173R	2	2	2	SD	DH	Rani Laxmibai Chowk	6.30	20.55	Via 90feet Road Dharavi/L&T Hospital	6.39	21.08	3.9	18	20	28		10	10	15	15	10	Rani Laxmibai Chowk	20	MS&HOL
	1	1	1	SD	DH	Rani Laxmibai Chowk	6.30	20.55	Via 90feet Road Dharavi/L&T Hospital	6.39	21.08	3.9	18	20	28		20	22	30	30		Rani Laxmibai Chowk	20	SUN
174	5	4	5	SD	WD	Wadala Depot	6.10	7.38	Bharani Naka	6.30	7.00	3.9	50	55		 	15	8	11	8	14	Wadala Depot	 --	FW
						Wadala Depot	11.36	16.11	Bharani Naka	11.07	15.41													
						Wadala Depot	20.49	23.00	Bharani Naka	20.07	23.20													
						Veer Kotwal Udyan	7.40	11.15	Bharani Naka	7.12	11.00	5.2												
						Veer Kotwal Udyan	16.20	20.30	Bharani Naka	15.52	20.00	5.2												
175	5	4	5	MD	DH	Sangam Nagar	6.55	22.02	Rani Laxmi Chowk	6.35	21.00	10.1	42	50	57	 	16	18	21	23	22	Rani Laxmi Chowk	15	MF
	5	4	5	SD	DH	Sangam Nagar	6.55	22.10	Rani Laxmi Chowk	6.35	20.50	10.1	42	50	57	 	16	18	23	19	19	Rani Laxmi Chowk	15	SAT&SH
180	11	11	11	SD	MLV	Rani Laxmi Chowk	6.10	23.35	Malvani Depot	5.00	22.05	24.4	65	100	105	110	20	20	22	22	22	Malvani Depot	 ---	MS
	12	12	12	SD	MLV	Rani Laxmi Chowk	6.20	23.15	Malvani Depot	5.00	21.40	24.4	60	85	100		20	15	10	20	15	Malvani Depot 	 ----	SH
	6	6	6	SD	DH	Rani Laxmi Chowk	6.20	20.37	Malvani Depot	7.45	22.25		65	100	105	110		24	21	33		Rani Laxmi Chk.	15	MS
	6	6	6	SD	DH	Rani Laxmi Chowk	6.10	20.54	Malvani Depot	7.27	22.30		60	85	100		20	29	30	25	25	Rani Laxmi Chk.	15	SH
				SD	PR	Rani Laxmi Chowk	6.20		Chh.Shivaji Int.Air-Port	6.55														FW
							14.20	21.20		14.55	21.55	9.5	35	40	45							Rani Laxmi Chk.		FW
181	12	9	12	SD	PR	Antop Hill Extn.	7.25	21.05	SEEPZ Bus Stn.	7.30	19.23	20.2	80	90	95		 	13	19	15	13	Antop Hill/C.G.S.Colony	20	MS
						Antop Hill	7.00	21.15	SEEPZ Bus Stn.	19.38	22.20	17.8												
	2	0	2	SD	PR	Antop Hill Extn.	7.32	20.30	B.K.C.Complex	8.05	21.15		35	45				35	46	47		Antop Hill	20	
	8	6	8	SD	PR	Antop Hill Extn.	7.30	20.25	SEEPZ Bus Stn.	8.15	18.55	20.2	80	85			 	23	28	23	23	Antop Hill	20	SH
						Antop Hill	20.47	21.10	SEEPZ Bus Stn	19.17	22.20													
184	3	0	3	SD	MLD	Agarkar Chowk	7.00	21.10	Marol Maroshi Bus Stn.	7.25	21.15	5.4	50	70	80	85	17	20		21	 	Marol Maroshi Bus Station	20	MS&HOL
185	10	7	8	SD	GKD	Kannamwar Nagar No.2	5.45	22.10	Vishal Hall (Andheri E)	6.00	21.15	15.6	45	73	78	90	 	16	26	26	23	Kannamwar Nagar 2	20	MF
	9	7	8	SD	GKD	Kannamwar Nagar No.3	5.45	22.10	Vishal Hall (Andheri E)	6.00	21.20	15.6	43	75	85		17	22	22	24	25	Kannamwar Nagar 2	15	SAT&HOL
	6	6	6	SD	GKD	Kannamwar Nagar No.2	6.30	22.10	Vishal Hall (Andheri E)	6.00	21.10	15.6	60	70	75		24	27	26	26	28	Kannamwar Nagar 2	15	SUN
186	10	7	10	SD	MLD	Agarkar Chowk	6.15	23.40	Vihar Lake	5.45	23.30	10.5	30	57	 	67	20	12	10	20	11	Agarkar Chowk	20	MS
	5	6	7	SD	MLD	Agarkar Chowk	6.15	22.45	Vihar Lake	5.45	23.20	10.5	30	47	51	56	20	18	17	16	19	Agarkar Chowk	20	SUN
	7	5	7	SD	MLD	Agarkar Chowk	6.15	22.45	Vihar Lake	5.45	23.20	10.5	28	47	56	61	16	15	20	18	23	Agarkar Chowk	20	HOL
200	6	4	6	SD	SD	Shravan Yashwante Chowk	6.45	21.45	Santacruz Depot	5.55	21.30	15.2	50	85	95		32	33	40	40	40	Santacruz Depot	 --	MS
	6	4	6	SD	SD	Shravan Yashwante Chowk	6.45	21.40	Santacruz Depot	5.55	21.40	15.2	50	70	80		25	28	37	37	28	Santacruz Depot	 --	SH
201	12	9	12	SD	GGD	P.Thakre Udyan	6.35	12.45	Goregaon Bus Station(W)	5.30	10.55	22.0	63	100	105		13	17	19	 	 	Goregaon Bus Station(W)	15	MS
						Veer Kotwal Udyan	12.41	22.55	Goregaon Bus Station(W)	11.11	22.00	17.4	90	95	105			 	18	18	16	Goregaon Bus Station(W)	15	
	7	7	7	SD	WD	P.Thakre Udyan	11.29	22.30	Andheri Station(W)	12.55	22.30		50	90				25	27			P.Thakre Udyan	20	MF
	7	7	7	SD	WD	P.Thakre Udyan	11.29	22.30	Andheri Station(W)	12.55	22.30		85	90				25	28			P.Thakre Udyan	20	SAT&HOL
	0	7	7	SD	WD	P.Thakre Udyan	11.29	22.20	Andheri Station(W)	12.59	22.30		85	90				25	28			P.Thakre Udyan	20	SUN
	12	11	12	SD	GGD	P.Thakre Udyan	6.55	11.35	Goregaon Bus Station(W)	5.45	10.05	22.0	65	86	88		20	15	14	15	16	Goregaon Bus Station(W)	15	SH
						Veer Kotwal Udyan	11.35	22.48	Goregaon Bus Station(W)	10.19	21.45	17.4	76	83	88			14	14	15	18	Goregeaon Bus Station(W)	15	
202Ltd	11	10	11	SD	GRD	Mahim Bus Station.	6.40	23.30	Gorai Depot	5.40	22.00	25.0	55	70	110		12	19	23	17	14	Gorai Depot 	 ---	MS
	1	0	1			Mahim Bus Station.			Gorai Depot															
	8	9	10	SD	GRD	Mahim Bus Station.	7.15	23.30	Gorai Depot	6.00	22.00	25.0	65	100	110		21	26	23	23	22	Gorai Depot 	 ---	SUN
	8	9	10	SD	GRD	Mahim Bus Station.	6.50	23.30	Gorai Depot	5.40	22.00	25.0	65	100	110		21	26	23	23	22	Gorai Depot 	 ---	HOL
203	9	9	9	SD	GGD	Juhu Beach	 	9.55	Dahisar Bridge	  	 	20.9	70	82	 		20	19	17	19	17	Jogeshwari Bus Station	15	MS
						Jogeshwari Bus Station	10.20	21.25	Dahisar Bridge	8.47	22.40	14.9												
	 	 	 	 	 	Jogeshwari Bus Station	21.40	22.55	Borivli Bus Station(W)	22.42	23.57	11.8												
	14	10	14	SD	PD	Juhu Beach	7.00	8.20	Dahisar Bridge	5.35	10.02	20.9	80	90	95		13	19	13	12	15	Poisar Depot/Dahisar Bridge	 --	MS
						Juhu Beach	8.40	22.50	Poisar Depot	10.20	21.20	15.4	70	90	95		13	19	13					
	10	10	10	SD	PD	Juhu Beach	7.00	21.35	Dahisar Bridge	6.10	21.15	20.9	75	90	95		10	19	19	20	20	Dahisar Bridge	30	SH
	0	0	7	SD	PD	Juhu Beach	16.40	21.55	Poisar Depot	15.10	20.25	15.4	85	 	 					26	28	Borivli Bus Stn(W)	20	SH
						Juhu Beach	19.40	22.45				17.03	85							26	28	Poisar Depot/Borivli Stn(W)	15	
204R	14	13	14	SD	GGD	Goregaon Bus Station(W)	6.05	21.30	Dahisar Bridge Via Gomant Nagar	6.35	22.52	32.4	110	140	175		9	10	10	12	15	Goregaon Bus Station(W)	15	MS
	7	7	8	SD	GGD	Goregaon Bus Station(W)	6.55	21.10	Dahisar Bridge Via Gomant Nagar	7.40	22.05	32.4	95	135	150		17	18	16	18	20	Goregaon Bus Station(W)	15	SUN
205R	13	12	13	SD	GGD	Jogeshwari Bus Station	5.40	23.20	Gomant Nagar	6.30	21.40	33.1	95	180	190	 	9	14	17	16	20	Jogeshwari Bus Station	15	MS
						Goregaon Depot			Gomant Nagar	21.55	24.05													
	11	11	12	SD	GGD	Jogeshwari Bus Station	5.50	23.05	Gomant Nagar	6.35	22.05	33.1	95	132	145		15	12	11	13	14	Jogeshwari Bus Station	15	SUN
	12	12	13	SD	GGD	Jogeshwari Bus Station	5.45	23.15	Gomant Nagar	6.35	22.10	33.1	95	135	150		16	12	12	12	12	Jogeshwari Bus Station	15	HOL
206	4	3	4	SD	PD	Poisar Depot 	5.42	23.05	I.C.Colony	6.00	23.25	5.0	40	56	68	52	14	14	18	18	20	Poisar Depot  	 --	MF
	4	3	4	SD	PD	Poisar Depot 	5.42	23.05	I.C.Colony	6.00	23.25	5.0	40	56	62	68	14	14	18	17	20	Poisar Depot	 ---	SAT
	3	3	4	SD	PD	Poisar Depot 	7.00	23.00	I.C.Colony	7.20	23.20	5.0	40	56	68	52	15	19	18	13	20	Poisar Depot 	 --	HOL
	2	2	3	SD	PD	Poisar Depot 	7.00	23.00	I.C.Colony	7.20	23.20	5.0	40	56	52	68		29	27	23	23	Poisar Depot	 --	SUN
207	17	16	17	SD	MLV	Gaikwad Nagar	5.15	22.15	Dahisar Bus Station	6.05	23.15	15.6	48	55	60	73	15	14	10	8	7	Gaikwad Nagar	5	MS
						Gaikwad Nagar	11.05	15.55	Dahisar Bridge	12.02	16.52	13.2	57					15	16					
	16	14	17	SD	MLV	Gaikwad Nagar	5.50	22.20	Dahisar Bridge	6.40	23.20	13.2	50	60	65		15	8	9	12	13	Gaikwad Nagar	5	SUN
	17	14	17	SD	MLV	Gaikwad Nagar	5.50	22.20	Dahisar Bus Station	6.40	23.20	15.6	50	60	65		15	8	9	8	11	Gaikwad Nagar	5	HOL
208	5	3	5	SD	GRD	Borivli Bus Station(W)	6.00	22.40	Ashish Complex	6.00	22.55	4.7	15	17	21	26	15	12	10	9	12	Borivli Station(W)	20	MS
							6.39	9.55	Sarswati Complex	6.55	11.20	5.2												
							17.03	20.57	Sarswati Complex	17.29	21.20	5.2												
	3	2	3	SD	GRD	Borivli Bus Station(W)	6.00	22.40	Ashish Complex	6.00	22.55	4.7	15	17	20	22	12	15	22	15	18	Borivli Station(W)	20	SH
						Borivli Bus Station(W)	6.50	9.52	Sarswati Complex	7.07	10.13													
						Borivli Bus Station(W)	17.07	20.12	Sarswati Complex	17.33	20.40													
209R	7	5	7	SD	MGT	Samata Nagar	6.28	23.00	Sudhindra Nagar	6.00	22.18	17.6	62	69	73	78	10	12	15	11	15	Samata Nagar	15	MS
						Borivli Station(E)	22.30	23.55	Sudhindra Nagar	22.03	24.15	8.8					 	 	 	 	 			
	4	4	5	SD	MGT	Samata Nagar	6.31	22.30	Sudhindra Nagar	7.02	21.55	17.6	62	68	78		14	17	14	16	16	Samata Nagar	15	HOL
						Borivli Station(E)	22.30	23.25	Sudhindra Nagar	22.11	23.40	8.8					 	 	 	 	 			
	4	4	5	SD	MGT	Samata Nagar	7.00	22.30	Sudhindra Nagar	7.33	21.55	17.6	62	68	78		14	17	14	16	16	Samata Nagar	15	SUN
						Borivli Station(E)	22.30	23.25	Sudhindra Nagar	22.11	23.00													
210Ltd	16	12	16	SD	GGD	Yari Road/Vesave Bus Stn	6.10	22.05	Dahisar Bridge	6.05	22.05	21.5	60	90	95		11	15	16	13	15	Yari-Road Vesave Bus Stn.	30	MS
						Yari Road/Vesave Bus Stn	20.40	21.20	Borivli Bus Station(W)			18.4												
						Goregaon Depot	5.20	8.47	Dahisar Bridge	20.17	23.20	14.5												
						Goregaon Depot			Borivli Bus Station(W)	22.10	22.50	11.4												
