Route	Route Alias	From	To	Distance	Stages
2734	273RING	MALAD STN-W(SAINATH MARG CHKY)	MALAD STN-W(SAINATH MARG CHKY)	12.9	15
2790	279	KANDIVLI STN.(W)	GORAI DEPOT	7.1	10
2810	281	PUSHPA PARK	KANDIVLI STN.(W)	9.9	12
2894	289RING	KANDIVLI BUS STN.( E )	KANDIVLI BUS STN.( E )	7.2	9
2820	282	KANDIVLI BUS STN.( E )	DAMU NGR.EXTN.	3.8	5
2854	285RING	KANDIVLI STN.(W)	KANDIVLI STN.(W)	5.4	9
2860	286	KANDIVLI STN.(W)	CHARKOP VILLAGE	4.0	6
2870	287	KANDIVLI BUS STN.( E )	E.S.I.S.HOSPITAL(THAKUR VILLAGE)	4.5	7
2944	294RING	BORIVLI BUS STN(W)	BORIVLI BUS STN(W)	10.8	15
2964	296RING	SHANTI ASHRAM	SHANTI ASHRAM	13.5	20
2980	298	BORIVLI STN(E)	RAWAL PADA(BORIVLI-E)	3.0	5
2990	299	JAY MAHARASHTRANGR.	BORIVLI STN(E)	2.0	3
3004	300RING	KANDIVLI BUS STN.( E )	KANDIVLI BUS STN.( E )	6.6	9
3010	301	BORIVLI STN(E)	HANUMAN TEKDI	3.0	5
3030	303	BANDRA RLY.TERMINUS	MHADA CLY.BUS STN.(MULUND-E)	25.3	27
3061	306LTD	SANTACRUZ STN (E)	MULUND RLY.STN.(W)	21.1	22
3070	307	VAISHALI NGR.	MAROL DEPOT	18.9	19
3080	308	VIDYA VIHAR BUS STN(W)	MAJAS DEPOT/SHYAM NGR.	16.6	16
3091	309LTD	KURLA STN (W)	GORAI DEPOT	26.2	24
3100	310	KURLA STN (W)	BANDRA RLY.TERMINUS	7.0	10
3110	311	KURLA STN (W)	SANTACRUZ STN (E)	5.0	7
3130	313	KURLA STN (W)	SANTACRUZ STN (E)	5.3	7
3120	312	PRATIKSHA NGR.DEPOT	SEEPZ BUS STN.	21.6	21
1610	161	WORLI DEPOT	NADKARNI PARK	10.6	13
1620	162	P.THAKRE UDN.BUS STN.	WORLI VILLAGE	4.8	6
1650	165	KASTURBA GANDHI CHK.	DHARAVI DEPOT	16.7	19
1660	166	MUMBAI CENTRAL DEPOT	ANTOP HILL BUS STN.	27.5	28
1680	168	LAL BAHADDUR SHASTRI COLLEGE	WADALA DEPOT	14.2	16
1690	169	WORLI VILLAGE	PRATIKSHA NGR.DEPOT	11.6	14
3150	315	PRATIKSHA NGR.DEPOT	SANTACRUZ STN (E)	16.4	18
3180	318	KURLA STN (W)	SANTACRUZ STN (E)	5.8	8
3190	319	AGARKAR CHK.	MHADA CLY.(CHANDIVLI)	7.0	10
3200	320	KURLA STN (W)	FILTER PADA	10.0	10
3211	321LTD	MAHIM BUS STN.	BARVE NGR.	21.4	19
3220	322	VIDYA VIHAR BUS STN(W)	MAHANT RD./PARLE(E)	14.0	13
3230	323	VIDYA VIHAR BUS STN(W)	SANGHARSH NGR.(CHANDIVLI)	7.4	8
3240	324	WORLI DEPOT	MAROL MAROSHI BUS STN.	21.1	22
3250	325	KURLA STN (W)	GHATKOPAR BUS STN./GKD	11.8	15
3280	328	BAMANDAYA PADA	VESAVA-YARI RD.BUS STN.	13.9	17
3290	329	SHIVAJI NGR.DEPOT	AGARKAR CHK.	20.2	25
3301	330LTD	KURLA STN (W)	SEVEN BUNGALOWS BUS STN.	17.4	17
3320	332	KURLA STN (W)	MAJAS DEPOT/SHYAM NGR.	15.6	16
3330	333	NEW QTRS( CHAKALA CIGARETTE FACTORY	KONDIVTE CAVES/MAHAKALI CAVES	7.3	9
3390	339	JUHU BUS STN.	MAJAS DEPOT/SHYAM NGR.	15.2	18
3400	340	GHATKOPAR STN.(W)	AGARKAR CHK.	8.8	11
3410	341	ANTOP HILL BUS STN.	GOREGAON STN-E	22.4	21
3430	343	GOREGAON STN(E)	DADASAHEB PHALHKE CHITRA NGRY	6.4	8
3420	342	GOREGAON STN(E)	KOKAN VIKAS	7.2	8
3450	345	SANTOSH NGR.EXTN.	GORAI DEPOT	14.4	18
3470	347	GOREGAON STN(E)	DINDOSHI BUS STN.	4.4	7
3481	348LTD	CHUNABHATTI BUS TERMINUS	DAHISAR BUS STN.	31.4	28
3490	349	KURLA STN (W)	SANTOSH NGR.EXTN.	21.9	23
3500	350	KURLA BUS STN (E)	SHIVAJI NGR.DEPOT	6.6	7
3510	351	MUMBAI CENTRAL DEPOT	TATA POWER CENTRE(CHEMBUR)	23.5	28
3520	352	TROMBAY	RANI LAXMIBAI CHK.	10.1	13
3530	353	WADALA DEPOT	TAGORE NGR.NO 5	19.8	19
3540	354	RAM GANESH GADKARI CHK.	KANNAMWAR NGR.NO 2	19.1	19
3561	356LTD	TATA POWER CENTRE(CHEMBUR)	SANTACRUZ DEPOT	17.7	19
3570	357	MUMBAI CENTRAL DEPOT	SHIVAJI NGR.DEPOT	26.4	28
3600	360	TROMBAY	KURLA BUS STN (E)	11.0	13
3610	361	MAHUL VILLAGE	KURLA BUS STN (E)	7.3	8
3620	362	DR.AMBEDKAR GARDEN/CHEMBUR STN.	KURLA BUS STN (E)	6.5	7
3630	363	KURLA BUS STN (E)	MAHUL VILLAGE	7.4	8
3640	364	MAHUL VILLAGE	TROMBAY	14.7	17
3650	365	KURLA STN (W)	SAHAR CARGO COMPLEX	10.2	9
3670	367	GADKARI QUARRY	KURLA BUS STN (E)	7.3	7
3700	370	MHADA CLY.BUS STN.(MULUND-E)	KELKAR COLLEGE	4.4	6
3991	399LTD	TROMBAY	MARATHON CHK.(TEEN HATH NAKA)	27.1	25
3731	373LTD	MAHUL VILLAGE	VAISHALI NGR.	27.7	22
3741	374LTD	ANUSHAKTI NGR.BUS STN.	GOREGAON BUS STN(W)	27.3	27
3760	376	SHIVAJI NGR.DEPOT	MAHIM BUS STN.	16.1	16
3751	375LTD	SHIVAJI NGR.DEPOT	BANDRA BUS STN(W)	18.7	18
3790	379	SHIVAJI NGR.TERMINUS	GHATKOPAR STN.(E)-2	6.4	8
3800	380	TROMBAY	AMRUT NGR.	19.7	22
3810	381	GHATKOPAR BUS STN./GKD	TATA POWER CENTRE(CHEMBUR)	12.7	14
3821	382LTD	ANUSHAKTI NGR.BUS STN.	SAHAR CARGO COMPLEX	26.1	23
3830	383	GADKARI QUARRY	SHIVAJI NGR.DEPOT	11.6	12
3850	385	TARDEO BUS STN/RUSHI MEHTA CHK.	GHATKOPAR BUS STN./GKD	23.8	25
3870	387	GHATKOPAR STN.(W)	VIKHROLI PARK SITE	3.6	5
3881	388LTD	KANNAMWAR NGR.NO 2	SEEPZ BUS STN.	17.0	17
3894	389RING	GHATKOPAR STN.(W)	GHATKOPAR STN.(W)	4.7	9
3910	391	MULUND RLY.STN.(W)	KHINDIPADA (DARGH)	4.1	5
3920	392	VIKHROLI DEPOT	MAJAS DEPOT/SHYAM NGR.	21.4	22
3940	394	VIKHROLI BUS STN.- E	KANNAMWAR NGR.NO 2	1.9	3
3970	397	VIKHROLI BUS STN.- E	KANNAMWAR NGR.BLDG.NO.124	2.3	4
4020	402	MULUND RLY.STN.(W)	VAISHALI NGR.	3.0	3
5011	501LTD	KURLA BUS STN (E)	AIROLI BUS STN.	27.5	20
4080	408	MAHIM BUS STN.	MULUND RLY.STN.(W)	23.2	22
4100	410	VIKHROLI DEPOT	KONDIVTE CAVES/MAHAKALI CAVES	13.0	16
4110	411	WADALA DEPOT	SANGHARSH NGR.(CHANDIVLI)	15.1	15
4150	415	AGARKAR CHK.	MAJAS DEPOT/SHYAM NGR.	6.8	8
4160	416	GHATKOPAR STN.(W)	AMRUT NGR.	1.9	4
4170	417	VIKHROLI PARK SITE	SURYA NGR.	4.0	4
4240	424	MULUND RLY.STN.(W)	GOREGAON DEPOT	27.2	30
4250	425	MANGATRAM PETROLPUMP	SEVEN BUNGALOWS BUS STN.	19.6	19
4410	441	AGARKAR CHK.	MAJAS DEPOT/SHYAM NGR.	6.0	8
4430	443	AGARKAR CHK.	BAMANDAYA PADA	6.4	8
4520	452	GOREGAON STN(E)	MAYUR NGR.	4.8	6
4591	459LTD	MULUND RLY.STN.(W)	MALVANI DEPOT/ GAIKWAD NGR.	27.4	26
4601	460LTD	MULUND RLY.STN.(W)	GORAI DEPOT	34.3	35
4611	461LTD	MULUND-W CHECK NAKA BUS STN.	P.THAKRE NGR.BUS STN.	32.2	31
4620	462	BORIVLI STN(E)	VAISHALI NGR.	4.0	5
4881	488LTD	SHIVAJI NGR.DEPOT	DINDOSHI DEPOT	23.2	22
4961	496LTD	MARATHON CHK.(TEEN HATH NAKA)	AGARKAR CHK.	19.4	19
5041	504LTD	WADALA DEPOT	JALVAYU VIHAR(KHARGHAR)	35.6	31
5051	505LTD	BANDRA BUS STN(W)	C.B.D. BELAPUR BUS STN.	31.5	26
5061	506LTD	JIJAMATA UDN.	NERUL RLY. STN.	33.6	29
5071	507LTD	SANTACRUZ STN (E)	NERUL BUS STN.	31.7	27
5101	510LTD	BARVE NGR.	M.I.D.C.ELECTRONIC ZONE	28.5	26
5211	521LTD	VASANTRAO NAIK CHK.	KOPAR KHAIRANE EXTN.	33.4	32
5231	523LTD	DINDOSHI BUS STN.	MILLENNIUM BUSINESS PARK	29.5	25
5261	526LTD	JIJAMATA UDN.	JALVAYU VIHAR(KHARGHAR)	43.6	36
5331	533LTD	ANDHERI BUS STN.(W)	VASHI SECT.19	31.0	26
6010	601	MALAD STN-E(PODDAR PARK)	VADARPADA	4.0	6
6050	605	BHANDUP STN.(W)	TEMBIPADA	2.6	4
6064	606RING	BHANDUP STN.(W)	BHANDUP STN.(W)	4.4	6
6080	608	KANJUR MARG STN.(W)	HANUMAN NGR.	2.2	4
7015	701L RING	KANDIVLI BUS STN.( E )	KANDIVLI BUS STN.( E )	29.0	28
7021	702LTD	BORIVLI STN(E)	GHODBUNDER VILLAGE	8.4	9
7035	703L RING	SAMATA NGR.BUS STN.(KANDIVLI-E)	SAMATA NGR.BUS STN.(KANDIVLI-E)	28.2	28
7071	707LDT	SANTACRUZ DEPOT	BHAYANDER PHATAK(POLICE CHKY)	31.1	29
7085	708L RING	DAMU NGR.BUS STN.	DAMU NGR.BUS STN.	36.9	37
7091	709LTD	MAGATHANE DEPOT	BHAYANDER STN.(E)	14.1	13
6184	618RING	SANTACRUZ STN (E)	SANTACRUZ STN (E)	2.9	6
6214	621RING	MALAD STN-W(ANAND MARG CHKY)	MALAD STN-W(ANAND MARG CHKY)	5.8	6
6240	624	MALAD STN-E(PODDAR PARK)	ANAND NAGAR (APPAPADA MALAD-E)	3.0	5
6270	627	ANDHERI STN.(W) (KUMKUM)	MORA VILLAGE	5.0	6
8011	SPL-1	CHH. SHIVAJI TERMINUS(BHATIA)	N.C.P.A.	3.0	4
8021	SPL-2	CHH. SHIVAJI TERMINUS(BHATIA)	WORLD TRADE CENTRE	4.8	5
8081	SPL-8	AHILYABAI HOLKAR CHK.	AHILYABAI HOLKAR CHK.	7.6	7
