Route	Route Alias	From	To	Distance	Stages
3040	304	KURLA STN (W)	SANTACRUZ DEPOT	14.8	16
2370	237	CHARKOP SECT.NO.8	BORIVLI BUS STN(W)	7.3	10
2630	263	SADBHAKTI MANDIR	SEEPZ BUS STN.	7.6	9
4330	433	VIDYA VIHAR BUS STN(W)	SANTACRUZ STN (E)	7.8	8
3360	336	J.V.P.D.BUS STN.	VIDYA VIHAR BUS STN(W)	11.7	11
4190	419	GHATKOPAR BUS STN./GKD	SANGHARSH NGR.(CHANDIVLI)	9.9	16
4420	442	SADBHAKTI MANDIR	MHADA CLY.(MAJAS)	4.9	6
4981	498LTD	SANGHARSH NGR.(CHANDIVLI)	BORIVLI STN(E)	20.4	23
4991	499LTD	GHATKOPAR BUS STN./GKD	VRINDAVAN SCTY.(THANE)	17.0	17
7101	710LTD	JAY MAHARASHTRANGR.	BHAYANDER RLY.STN.(W)	15.0	15
4070	407	KELKAR COLLEGE	NIMKAR SCTY.	7.1	9
4971	497LTD	GHATKOPAR BUS STN./GKD	LOKMANYA NGR.(THANE)	17.9	18
5221	522LTD	MAROL DEPOT	VASHI RAILWAY STN.	30.5	26
5201	520LTD	DEONAR DEPOT	AIROLI BUS STN.	23.0	17
5021	502LTD	WADALA DEPOT	NERUL SECT.-46/48	34.1	29
6150	615	RANI LAXMIBAI CHK.	SANTACRUZ STN (E)	7.0	9
2292	229EXTRA	ASHOK NGR.	BORIVLI BUS STN(W)	3.3	5
0324	32 RING	GOREGAON BUS STN(W)	GOREGAON BUS STN(W)	20.7	22
2330	233	BORIVLI STN(E)	CHOGLE NGR.	3.0	5
4730	473	BANDRA BUS STN(W)	MAHUL VILLAGE	14.1	15
5191	519LTD	DEONAR DEPOT	GHANSOLI VILLAGE	17.0	15
0027	AS-2	BACKBAY DEPOT	DAHISAR BUS STN.	45.5	40
5057	AS-505	SANTACRUZ DEPOT	C.B.D. BELAPUR BUS STN.	34.6	29
0138	A-13EXP	BACKBAY DEPOT	HIRANANDANI EST.	49.3	43
4630	463	WORLI DEPOT	CHEMBUR CLY.	17.0	21
5141	514LTD	MULUND-W CHECK NAKA BUS STN.	L & T INFOTECH(MAHAPE)	17.9	14
7181	718LTD	DINDOSHI BUS STN.	BHAYANDER STN.(E)	17.8	16
5037	AS-503	WADALA DEPOT	KALAMBOLI BUS STN	37.7	31
7077	AS-707	SANTACRUZ DEPOT	MAXUS MALL (BHAYANDER-W)	31.7	30
5031	503LTD	RANI LAXMIBAI CHK.	KALAMBOLI BUS STN	35.8	30
0708	A-70EXP	NEHRU PLANETARIUM	MIRA RD.STN.(E)	39.8	29
5517	AS-551	AGARKAR CHK.	VASHI BUS STN.	31.8	27
5257	AS-525	DINDOSHI BUS STN.	L & T INFOTECH(MAHAPE)	30.4	24
2300	230	P.THAKRE NGR.BUS STN.	SAMBHAJI NGR.(DAHISAR-E)	11.0	15
2280	228	GORAI DEPOT	RAWAL PADA(BORIVLI-E)	9.7	13
6640	664	AGARKAR CHK.	SAMARTH NGR.	3.5	6
4587	AS-458	MULUND DEPOT	P.THAKRE NGR.BUS STN.	37.3	36
4691	469LTD	MULUND-W CHECK NAKA BUS STN.	GOREGAON DEPOT	25.4	25
5927	AS-592	VASANTRAO NAIK CHK.	L & T INFOTECH(MAHAPE)	38.6	36
3887	AS-388	GHATKOPAR BUS STN./GKD	POISAR DEPOT	24.4	21
0680	68	NAVY NGR.	WORLI DEPOT	18.4	21
4407	AS-440	WADALA DEPOT	BORIVLI STN(E)	28.4	25
2344	234RING	JOGESHWARI BUS STN	JOGESHWARI BUS STN	16.5	20
5127	AS-512	MULUND-W CHECK NAKA BUS STN.	NERUL RLY. STN.	33.6	27
3027	AS-302	MAHIM BUS STN.	CADBURY JN.(THANE)	25.9	24
5247	AS-524	BORIVLI STN(E)	C.B.D. BELAPUR BUS STN.	52.3	40
4941	494LTD	VIKHROLI DEPOT	RETI BUNDER - KHARIGAON(KALWA)	20.8	20
4931	493LTD	ANUSHAKTI NGR.BUS STN.	DADLANI PARK (THANE-W)	27.6	24
4911	491LTD	SEEPZ BUS STN.	BRAHMAND AZAD NGR.BUS STN	35.0	31
5091	509LTD	ANTOP HILL BUS STN.	MILLENNIUM BUSINESS PARK	34.6	29
4791	479LTD	SHIVAJI NGR.DEPOT	GOREGAON BUS STN(W)	31.8	29
6294	629 RING	BORIVLI STN(E)	BORIVLI STN(E)	6.6	8
5157	AS-515	SANTACRUZ DEPOT	C.B.D. BELAPUR BUS STN.	39.2	34
0750	75	ANTOP HILL BUS STN.	TATA CLY.	9.7	10
4504	450RING	GOREGAON STN(E)	GOREGAON STN(E)	23.9	24
4010	401	MULUND RLY.STN.(W)	VAISHALI NGR.	2.5	4
4364	436RING	GOREGAON STN(E)	GOREGAON STN(E)	8.6	11
4441	444LTD	GHATKOPAR BUS STN./GKD	GOREGAON DEPOT	16.9	20
6090	609	VIDYA VIHAR BUS STN(W)	KOHINOOR HOSPITAL	2.0	3
2784	278RING	POISAR DEPOT	POISAR DEPOT	17.1	19
0748	A-74EXP	COLABA DEPOT	GOREGAON DEPOT	40.3	33
1630	163	P.THAKRE UDN.BUS STN.	WORLI DEPOT	5.4	5
4230	423	MANGATRAM PETROLPUMP	MAROL DEPOT	10.3	10
6310	631	KURLA STN (W)	MASRANI EST.	1.3	3
6320	6320	KURLA STN (W)	SUNDER BAUG (KAMANI)	2.9	5
2950	295	KANDIVLI STN.(W)	DATTANI GRAM(KANDIVLI-W)	2.2	4
0661	66LTD	COLABA DEPOT	DHARAVI DEPOT	18.2	19
5181	518LTD	SHIVAJI NGR.DEPOT	GHANSOLI VILLAGE	19.1	16
1574	157RING	GRANT RD STN.(W)	GRANT RD STN.(W)	5.4	8
6630	663	MAHUL VILLAGE	TROMBAY	10.6	13
4810	481	GHATKOPAR BUS STN./GKD	VASHINAKA M.M.R.D.A.CLY.	10.3	12
5451	545LTD	AGARKAR CHK.	AIROLI BUS STN.	23.5	22
4260	426	VIDYA VIHAR BUS STN(W)	FILTER PADA	9.3	9
0758	A-75EXP	COLABA DEPOT	HIRANANDANI GARDEN	39.3	31
5001	500LTD	VIKHROLI DEPOT	AIROLI BUS STN.	14.5	14
7201	720LTD	P.THAKRE NGR.BUS STN.	BHAYANDER STN.(E)	18.1	18
7051	705LTD	JAY MAHARASHTRANGR.	WESTERN PARK	9.8	12
4540	454	SEVEN BUNGALOWS BUS STN.	SHIVSHAI PRAKALP/MANTRI PARK	13.7	17
6300	630	KHAR STN (W)	SANTACRUZ STN (W)	3.9	6
2180	218	KURLA STN (W)	BANDRA RLY.TERMINUS	8.5	12
4560	456	SHIVSHAI PRAKALP/MANTRI PARK	MALVANI DEPOT/ GAIKWAD NGR.	11.6	14
0426	C-42	RANI LAXMIBAI CHK.	DADLANI PARK (THANE-W)	27.1	23
0716	C-71	MAHIM BUS STN.	MIRA RD.STN.(E)	31.6	26
4841	484LTD	MHADA CLY.BUS STN.(MULUND-E)	PAWAR NGR.BUS STN.(THANE)	13.7	14
0261	26LTD	MUMBAI CENTRAL DEPOT	MAHUL VILLAGE	18.6	22
0171	17LTD	BACKBAY DEPOT	VIDYA VIHAR BUS STN(W)	26.7	25
0768	A-76EXP	COLABA DEPOT	GORAI DEPOT	45.6	37
0778	A-77EXP	BKC TEL.EXCHANGE	GORAI DEPOT	29.2	27
4781	478LTD	VIKHROLI DEPOT	BORIVLI STN(E)	26.8	24
4641	464 LTD	MAROL DEPOT	P.THAKRE NGR.BUS STN.	20.7	21
5171	517LTD	SANTACRUZ STN (E)	VASHI SECT.19	28.8	24
6224	622RING	MALAD STN-W(SAINATH MARG CHKY)	MALAD STN-W(SAINATH MARG CHKY)	9.0	12
4701	470LTD	GHATKOPAR BUS STN./GKD	BORIVLI STN(E)	23.6	24
0090	9	COLABA BUS STN.	NADKARNI PARK	24.7	28
0126	C-12	SANTACRUZ DEPOT	DAHISAR BUS STN.	23.6	25
0536	C-53	GHATKOPAR BUS STN./GKD	KALAMBOLI BUS STN	34.9	26
0606	C-60	DEONAR DEPOT	BORIVLI STN(E)	34.6	30
0726	C-72	RANI LAXMIBAI CHK.	BHAYANDER STN.(E)	35.1	29
0616	C-61	MULUND DEPOT	MIRA RD.STN.(E)	29.2	24
0626	C-62	MULUND-W CHECK NAKA BUS STN.	GORAI DEPOT	33.4	30
0526	C-52	WADALA DEPOT	KALAMBOLI BUS STN	37.7	31
0436	C-43	RANI LAXMIBAI CHK.	MUMBRA POLICE STN.	34.3	28
2622	262EXTRA	GOREGAON BUS STN(W)	GOREGAON BUS STN(W)	6.7	8
7111	711LTD	GORAI DEPOT	GORAI CREEK-W	38.8	33
0556	C-55	G.S.CLY.	JALVAYU VIHAR(KHARGHAR)	36.9	32
2190	219	BANDRA RLY.TERMINUS	SANTACRUZ STN (E)	7.0	10
2390	239	POISAR DEPOT	CHARKOP SEC.NO.9/AKSHARA VIDYALAYA	6.6	10
3904	390RING	GHATKOPAR STN.(W)	GHATKOPAR STN.(W)	5.0	9
4380	438	DINDOSHI BUS STN.	DAHISAR BUS STN.	11.8	12
8031	SPL-3	COLABA BUS STN.	MAHATMA PHULE MARKET	5.0	7
1062	106-EXTRA	R.C.CHURCH	AHILYABAI HOLKAR CHK.	5.4	8
0118		NAVY NGR.	RANI LAXMIBAI CHK.	22.2	24
2106	SPASTIC SOCIETY	BND RECLAMATION BUS STN.	BORIVLI BUS STN(W)	32.3	31
1640	164	MAHARANA PRATAP CHK.	DHARAVI DEPOT	17.2	20
8051	SPL-5	MAHATMA PHULE MARKET	N.C.P.A.	4.6	6
2914	291-RING	KANDIVLI STN.(W)	KANDIVLI STN.(W)	8.0	11
2920	292	BORIVLI BUS STN(W)	SHIMPOLI VILLAGE	2.6	4
4770	477	BORIVLI RLY.COMPOUND RD(E)	RUSHIVAN	2.6	4
4650	465 ORD	SADBHAKTI MANDIR	GOREGAON STN-E	4.7	6
4921	492LTD	SEEPZ BUS STN.	WAGHBILGAON	27.8	24
0030	3	NAVY NGR.	JIJAMATA UDN.	12.9	16
0032	3-EXTRA	NAVY NGR.	JIJAMATA UDN.	12.2	15
0172	17 LTD.EXTRA	BACKBAY DEPOT	VIDYA VIHAR BUS STN(W)	25.6	24
1082	108-EXTRA	CHH. SHIVAJI TERMINUS(BHATIA)	KAMLA NEHRU PARK	9.9	11
1372	137-EXTRA	NAVY NGR.	NAVY NGR.	11.0	16
0852	85-EXTRA	HUTATMA CHK./MUMBAI UNIVERSITY	CHUNABHATTI BUS TERMINUS	19.4	22
4212	421-EXTRA	GHATKOPAR BUS STN./GKD	MHADA CLY.(CHANDIVLI)	7.8	12
5063	506-EXTRA	JIJAMATA UDN.	KOPAR KHAIRANE EXTN.	28.0	27
5151	5151 LTD	BANDRA BUS STN(W)	C.B.D. BELAPUR BUS STN.	36.1	31
3132	313-EXT.	KURLA STN (W)	AIR INDIA QUARTERS	3.9	5
0043	4LTD-EXTRA	HUTATMA CHK./MUMBAI UNIVERSITY	VESAVA-YARI RD.BUS STN.	27.9	30
0139	A-13EXP.EXT.	BACKBAY DEPOT	LODHA COMPLEX	45.3	39
1580	1580	BYCULLA STN.(W)	RAM GANESH GADKARI CHK.	8.1	10
0541	54-LTD	COLABA BUS STN.	SANTACRUZ DEPOT	21.9	25
0161	16-LTD	WADALA DEPOT	VASHINAKA M.M.R.D.A.CLY.	10.6	13
1750	175	SANGAM NGR.	RANI LAXMIBAI CHK.	10.2	14
4141	4141	MUMBAI CENTRAL DEPOT	MAJAS DEPOT/SHYAM NGR.	25.0	23
5081	508 LTD	DR.AMBEDKAR GARDEN	NERUL SECT.-46/48	27.1	23
6100	610	KURLA BUS STN (E)	BUNTARA BHAVAN	2.4	4
1672	167-EXT.RING	WORLI DEPOT	WORLI DEPOT	9.5	11
8111	811-LTD	BREACH CANDY HOSPITAL	BYCULLA STN.(W)	3.9	6
0116	SPASTIC SOCIETY	NAVY NGR.	RANI LAXMIBAI CHK.	22.2	24
3736	SPASTIC SOCIETY	BND RECLAMATION BUS STN.	GAWANPADA	30.1	25
8126	8126	CHH. SHIVAJI TERMINUS	CHH. SHIVAJI TERMINUS	2.0	2
8136	8136	CHH. SHIVAJI TERMINUS	CHH. SHIVAJI TERMINUS	2.0	2
0770	77	J.MEHTA MARG	P.THAKRE UDN.BUS STN.	10.9	12
3082	308-EXT.	VIDYA VIHAR BUS STN(W)	SAHAR CARGO COMPLEX	9.5	8
4703	470-EXTRA	GHATKOPAR STN.(W)	AGARKAR CHK.	8.8	11
6250	625	MALAD STN-E(PODDAR PARK)	ALIKA NGR.	4.4	6
5259	AS-525EXTRA	DINDOSHI BUS STN.	KOPAR KHAIRANE	29.6	23
0466	C-46	MAROL DEPOT	LODHA COMPLEX	24.7	24
0456	C-45	GHATKOPAR BUS STN./GKD	BRAHMAND AZAD NGR.BUS STN	21.6	20
0446	C-44	SEEPZ BUS STN.	PAWAR NGR.BUS STN.(THANE)	22.1	21
0332	33-EXTRA	WORLI DEPOT	GOREGAON BUS STN(W)	22.3	24
4270	4270	GHATKOPAR STN.(W)	VIHAR LAKE	13.0	13
2700	2700	MALAD STN-W(SAINATH MARG CHKY)	MAHAPALIKA PUMPING CENTRE (MALVANI)	4.4	6
5161	516 LTD	DEONAR DEPOT	JALVAYU VIHAR(KHARGHAR)	25.2	20
0580	58	WADALA TRUCK TERMINAL	KURLA BUS STN (E)	4.7	5
3483	348 LTD-EXTRA	ANIK DEPOT	DAHISAR BUS STN.	34.2	30
6284	628 RING	BORIVLI STN(E)	BORIVLI STN(E)	3.0	5
4280	428	VIKHROLI DEPOT	SADBHAKTI MANDIR	15.7	15
8161	8161	BORIVLI STN(E)	KANHERI CAVES	7.3	4
2160	216	BANDRA BUS STN(W)	KHAR STN (W)	5.8	8
1824	182 RING	BANDRA RLY.TERMINUS	BANDRA RLY.TERMINUS	11.0	15
1827	AS-182	BANDRA RLY.TERMINUS	BANDRA RLY.TERMINUS	11.0	15
1830	183	KURLA STN (W)	M.M.R.D.A./FAMILY COURT	5.8	7
1837	AS-183	KURLA STN (W)	M.M.R.D.A./FAMILY COURT	5.8	7
0442	44-EXTRA	COLABA BUS STN.	FERRY WHARF	8.5	11
