trip_id,start_time,end_time,headway_secs
2114_SAT_DOWN,06:00:00,07:00:00,720
2114_SAT_DOWN,07:00:00,11:00:00,420
2114_SAT_DOWN,11:00:00,17:00:00,600
2114_SAT_DOWN,17:00:00,20:00:00,660
2114_SAT_DOWN,20:00:00,00:00:00,780
0171_SH_UP,06:00:00,07:00:00,1560
0171_SH_UP,07:00:00,11:00:00,1620
0171_SH_UP,11:00:00,17:00:00,1620
0171_SH_UP,17:00:00,20:00:00,1500
0171_SH_UP,20:00:00,22:00:00,1500
0171_SH_DOWN,07:30:00,07:00:00,1560
0171_SH_DOWN,07:00:00,11:00:00,1620
0171_SH_DOWN,11:00:00,17:00:00,1620
0171_SH_DOWN,17:00:00,20:00:00,1500
0171_SH_DOWN,20:00:00,23:35:00,1500
0171_MS_UP,06:00:00,07:00:00,1380
0171_MS_UP,07:00:00,11:00:00,1500
0171_MS_UP,11:00:00,17:00:00,1560
0171_MS_UP,17:00:00,20:00:00,1620
0171_MS_UP,20:00:00,22:00:00,1620
0171_MS_DOWN,07:30:00,07:00:00,1380
0171_MS_DOWN,07:00:00,11:00:00,1500
0171_MS_DOWN,11:00:00,17:00:00,1560
0171_MS_DOWN,17:00:00,20:00:00,1620
0171_MS_DOWN,20:00:00,23:35:00,1620
0171_MF_UP,07:40:00,07:00:00,1620
0171_MF_UP,07:00:00,11:00:00,1740
0171_MF_UP,11:00:00,17:00:00,1860
0171_MF_DOWN,08:05:00,07:00:00,1620
0171_MF_DOWN,07:00:00,11:00:00,1740
0171_MF_DOWN,11:00:00,17:00:00,1860
3220_SAT&SH_UP,05:35:00,07:00:00,1260
3220_SAT&SH_UP,07:00:00,11:00:00,1380
3220_SAT&SH_UP,11:00:00,17:00:00,1560
3220_SAT&SH_UP,17:00:00,20:00:00,2100
3220_SAT&SH_UP,20:00:00,20:30:00,1860
3220_SAT&SH_DOWN,05:55:00,07:00:00,1260
3220_SAT&SH_DOWN,07:00:00,11:00:00,1380
3220_SAT&SH_DOWN,11:00:00,17:00:00,1560
3220_SAT&SH_DOWN,17:00:00,20:00:00,2100
3220_SAT&SH_DOWN,20:00:00,21:25:00,1860
3220_MF_UP,05:35:00,07:00:00,1260
3220_MF_UP,07:00:00,11:00:00,1140
3220_MF_UP,11:00:00,17:00:00,1260
3220_MF_UP,17:00:00,20:00:00,1560
3220_MF_UP,20:00:00,20:25:00,1860
3220_MF_DOWN,05:55:00,07:00:00,1260
3220_MF_DOWN,07:00:00,11:00:00,1140
3220_MF_DOWN,11:00:00,17:00:00,1260
3220_MF_DOWN,17:00:00,20:00:00,1560
3220_MF_DOWN,20:00:00,21:20:00,1860
3200_SUN_UP,04:55:00,07:00:00,600
3200_SUN_UP,07:00:00,11:00:00,420
3200_SUN_UP,11:00:00,17:00:00,720
3200_SUN_UP,17:00:00,20:00:00,480
3200_SUN_UP,20:00:00,00:00:00,720
3200_SUN_DOWN,04:55:00,07:00:00,600
3200_SUN_DOWN,07:00:00,11:00:00,420
3200_SUN_DOWN,11:00:00,17:00:00,720
3200_SUN_DOWN,17:00:00,20:00:00,480
3200_SUN_DOWN,20:00:00,00:30:00,720
3200_HOL_UP,05:10:00,07:00:00,840
3200_HOL_UP,07:00:00,11:00:00,600
